country,pop2021
Indonesia,276361.783
Japan,126050.804
Philippines,111046.913
United Kingdom,68207.116
Madagascar,28427.328
Australia,25788.215
Taiwan,23855.01
Sri Lanka,21497.31
Haiti,11541.685
Cuba,11317.505
Dominican Republic,10953.703
Papua New Guinea,9119.01
Singapore,5896.686
Ireland,4982.907
New Zealand,4860.643
Jamaica,2973.463
Bahrain,1748.296
Trinidad and Tobago,1403.375
Timor-Leste,1343.873
Mauritius,1273.433
Cyprus,1215.584
Fiji,902.906
Comoros,888.451
Solomon Islands,703.996
Cape Verde,561.898
Maldives,543.617
Malta,442.784
Brunei,441.532
Bahamas,396.913
Iceland,343.353
Vanuatu,314.464
Barbados,287.711
Sao Tome and Principe,223.368
Samoa,200.149
Saint Lucia,184.4
Kiribati,121.392
Micronesia,116.254
Grenada,113.021
Saint Vincent and the Grenadines,111.263
Tonga,106.76
Seychelles,98.908
Antigua and Barbuda,98.731
Dominica,72.167
Marshall Islands,59.61
Saint Kitts and Nevis,53.544
Palau,18.169
Tuvalu,11.931
Nauru,10.876
