crop_number,SPAM_short_name,SPAM_full_name,FAONAMES,item_code,GROUP
1,whea,wheat,wheat,15,cereals
2,rice,rice,rice,27,cereals
3,maiz,maize,maize,56,cereals
4,barl,barley,barley,44,cereals
5,pmil,pearl millet,millet,79,cereals
6,smil,small millet,millet,79,cereals
7,sorg,sorghum,sorghum,83,cereals
8,ocer,other cereals,other cereals ++,68,cereals
8,ocer,other cereals,other cereals ++,71,cereals
8,ocer,other cereals,other cereals ++,75,cereals
8,ocer,other cereals,other cereals ++,89,cereals
8,ocer,other cereals,other cereals ++,92,cereals
8,ocer,other cereals,other cereals ++,94,cereals
8,ocer,other cereals,other cereals ++,97,cereals
8,ocer,other cereals,other cereals ++,101,cereals
8,ocer,other cereals,other cereals ++,103,cereals
8,ocer,other cereals,other cereals ++,108,cereals
9,pota,potato,potato,116,roots&tubers or starchy roots
10,swpo,sweet potato,sweet potato,122,roots&tubers or starchy roots
11,yams,yams,yam,137,roots&tubers or starchy roots
12,cass,cassava,cassava,125,roots&tubers or starchy roots
13,orts,other roots,yautia ++,135,roots&tubers or starchy roots
13,orts,other roots,yautia ++,136,roots&tubers or starchy roots
13,orts,other roots,yautia ++,149,roots&tubers or starchy roots
14,bean,bean,"beans, dry",176,pulses
15,chic,chickpea,chickpea,191,pulses
16,cowp,cowpea,cowpea,195,pulses
17,pige,pigeonpea,pigeon pea,197,pulses
18,lent,lentil,lentils,201,pulses
19,opul,other pulses,broad beans ++,181,pulses
19,opul,other pulses,broad beans ++,187,pulses
19,opul,other pulses,broad beans ++,203,pulses
19,opul,other pulses,broad beans ++,205,pulses
19,opul,other pulses,broad beans ++,210,pulses
19,opul,other pulses,broad beans ++,211,pulses
20,soyb,soybean,soybean,236,oilcrops
21,grou,groundnut,"groundnut, with shell",242,oilcrops
22,cnut,coconut,coconut,249,oilcrops
23,oilp,oilpalm,palmoil,254,oilcrops
24,sunf,sunflower,sunflower seed,267,oilcrops
25,rape,rapeseed,rapeseed,270,oilcrops
25,rape,rapeseed,rapeseed,292,oilcrops
26,sesa,sesameseed,sesame seed,289,oilcrops
28,sugc,sugarcane,sugar cane,156,sugar crops
29,sugb,sugarbeet,sugarbeet,157,sugar crops
30,cott,cotton,seed cotton,328,fibres
32,acof,arabica coffee,coffee,656,stimulant
33,rcof,robusta coffee,coffee,656,stimulant
34,coco,cocoa,cocoa,661,stimulant
35,teas,tea,tea,667,stimulant
36,toba,tobacco,tobacco leaves,826,stimulant
37,bana,banana,banana,486,fruits
38,plnt,plantain,plantain,489,fruits
40,temf,temperate fruit,apples ++,592,fruits
40,temf,temperate fruit,apples ++,619,fruits
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",161,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",671,NA
27,ooil,other oil crops,olives ++,260,oilcrops
27,ooil,other oil crops,olives ++,261,oilcrops
27,ooil,other oil crops,olives ++,262,oilcrops
27,ooil,other oil crops,olives ++,263,oilcrops
27,ooil,other oil crops,olives ++,264,oilcrops
27,ooil,other oil crops,olives ++,265,oilcrops
27,ooil,other oil crops,olives ++,266,oilcrops
27,ooil,other oil crops,olives ++,268,oilcrops
27,ooil,other oil crops,olives ++,269,oilcrops
27,ooil,other oil crops,olives ++,271,oilcrops
27,ooil,other oil crops,olives ++,272,oilcrops
27,ooil,other oil crops,olives ++,273,oilcrops
27,ooil,other oil crops,olives ++,274,oilcrops
27,ooil,other oil crops,olives ++,275,oilcrops
27,ooil,other oil crops,olives ++,276,oilcrops
