Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,767,Cotton lint,2017,2017,tonnes,12134,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,2,Afghanistan,5510,Production,329,Cottonseed,2017,2017,tonnes,23900,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,2,Afghanistan,5510,Production,328,Seed cotton,2017,2017,tonnes,36770,,Official data
QCL,Crops and livestock products,3,Albania,5510,Production,767,Cotton lint,2017,2017,tonnes,246,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,3,Albania,5510,Production,329,Cottonseed,2017,2017,tonnes,540,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,3,Albania,5510,Production,328,Seed cotton,2017,2017,tonnes,820,F,FAO estimate
QCL,Crops and livestock products,4,Algeria,5510,Production,767,Cotton lint,2017,2017,tonnes,26,F,FAO estimate
QCL,Crops and livestock products,4,Algeria,5510,Production,329,Cottonseed,2017,2017,tonnes,52,F,FAO estimate
QCL,Crops and livestock products,4,Algeria,5510,Production,328,Seed cotton,2017,2017,tonnes,80,F,FAO estimate
QCL,Crops and livestock products,7,Angola,5510,Production,767,Cotton lint,2017,2017,tonnes,914,*,Unofficial figure
QCL,Crops and livestock products,7,Angola,5510,Production,329,Cottonseed,2017,2017,tonnes,3200,F,FAO estimate
QCL,Crops and livestock products,7,Angola,5510,Production,328,Seed cotton,2017,2017,tonnes,5500,F,FAO estimate
QCL,Crops and livestock products,8,Antigua and Barbuda,5510,Production,767,Cotton lint,2017,2017,tonnes,30,F,FAO estimate
QCL,Crops and livestock products,8,Antigua and Barbuda,5510,Production,329,Cottonseed,2017,2017,tonnes,65,F,FAO estimate
QCL,Crops and livestock products,8,Antigua and Barbuda,5510,Production,328,Seed cotton,2017,2017,tonnes,105,F,FAO estimate
