country,region,abb
Antigua and Barbuda,Latin America and the Caribbean,LAC
Argentina,Latin America and the Caribbean,LAC
Bahamas,Latin America and the Caribbean,LAC
Barbados,Latin America and the Caribbean,LAC
Belize,Latin America and the Caribbean,LAC
Bolivia,Latin America and the Caribbean,LAC
Brazil,Latin America and the Caribbean,LAC
Chile,Latin America and the Caribbean,LAC
Colombia,Latin America and the Caribbean,LAC
Costa Rica,Latin America and the Caribbean,LAC
Cuba,Latin America and the Caribbean,LAC
Dominica,Latin America and the Caribbean,LAC
Dominican Republic,Latin America and the Caribbean,LAC
Ecuador,Latin America and the Caribbean,LAC
El Salvador,Latin America and the Caribbean,LAC
Grenada,Latin America and the Caribbean,LAC
Guatemala,Latin America and the Caribbean,LAC
Guyana ,Latin America and the Caribbean,LAC
Haiti ,Latin America and the Caribbean,LAC
Honduras ,Latin America and the Caribbean,LAC
Jamaica ,Latin America and the Caribbean,LAC
Mexico ,Latin America and the Caribbean,LAC
Nicaragua ,Latin America and the Caribbean,LAC
Panama ,Latin America and the Caribbean,LAC
Paraguay ,Latin America and the Caribbean,LAC
Peru ,Latin America and the Caribbean,LAC
Puerto Rico ,Latin America and the Caribbean,LAC
Saint Kitts and Nevis ,Latin America and the Caribbean,LAC
Saint Lucia ,Latin America and the Caribbean,LAC
Saint Vincent and the Grenadines ,Latin America and the Caribbean,LAC
Suriname ,Latin America and the Caribbean,LAC
Trinidad and Tobago ,Latin America and the Caribbean,LAC
Uruguay ,Latin America and the Caribbean,LAC
Venezuela ,Latin America and the Caribbean,LAC
Angola,Sub-Saharam Africa,SSA
Benin,Sub-Saharam Africa,SSA
Botswana,Sub-Saharam Africa,SSA
Burkina Faso,Sub-Saharam Africa,SSA
Burundi,Sub-Saharam Africa,SSA
Cameroon,Sub-Saharam Africa,SSA
Cape Verde,Sub-Saharam Africa,SSA
Central African Republic,Sub-Saharam Africa,SSA
Chad,Sub-Saharam Africa,SSA
Comoros,Sub-Saharam Africa,SSA
Congo,Sub-Saharam Africa,SSA
Côte d'Ivoire,Sub-Saharam Africa,SSA
Democratic Republic of the Congo,Sub-Saharam Africa,SSA
