iso3c,ID_0,Country,Subregion,ID_subregion
AFG,1,Afghanistan,Badakhshan,1
AFG,1,Afghanistan,Badghis,2
AFG,1,Afghanistan,Baghlan,3
AFG,1,Afghanistan,Balkh,4
AFG,1,Afghanistan,Bamyan,5
AFG,1,Afghanistan,Daykundi,6
AFG,1,Afghanistan,Farah,7
AFG,1,Afghanistan,Faryab,8
AFG,1,Afghanistan,Ghazni,9
AFG,1,Afghanistan,Ghor,10
AFG,1,Afghanistan,Hilmand,11
AFG,1,Afghanistan,Hirat,12
AFG,1,Afghanistan,Jawzjan,13
AFG,1,Afghanistan,Kabul,14
AFG,1,Afghanistan,Kandahar,15
AFG,1,Afghanistan,Kapisa,16
AFG,1,Afghanistan,Khost,17
AFG,1,Afghanistan,Kunar,18
AFG,1,Afghanistan,Kunduz,19
AFG,1,Afghanistan,Laghman,20
AFG,1,Afghanistan,Logar,21
AFG,1,Afghanistan,Nangarhar,22
AFG,1,Afghanistan,Nimroz,23
AFG,1,Afghanistan,Nuristan,24
AFG,1,Afghanistan,Paktika,25
AFG,1,Afghanistan,Paktya,26
AFG,1,Afghanistan,Panjshir,27
AFG,1,Afghanistan,Parwan,28
AFG,1,Afghanistan,Samangan,29
AFG,1,Afghanistan,Sari Pul,30
AFG,1,Afghanistan,Takhar,31
AFG,1,Afghanistan,Uruzgan,32
AFG,1,Afghanistan,Wardak,33
AFG,1,Afghanistan,Zabul,34
CYP,61,Cyprus,Akrotiri,35
CYP,61,Cyprus,Dhekelia,36
ALA,3,Åland,Brändö,37
ALA,3,Åland,Eckerö,38
ALA,3,Åland,Finström,39
ALA,3,Åland,Föglö,40
ALA,3,Åland,Geta,41
ALA,3,Åland,Hammarland,42
ALA,3,Åland,Jomala,43
ALA,3,Åland,Kökar,44
ALA,3,Åland,Kumlinge,45
ALA,3,Åland,Lemland,46
ALA,3,Åland,Lumparland,47
ALA,3,Åland,Mariehamn,48
ALA,3,Åland,Saltvik,49
ALA,3,Åland,Sottunga,50
ALA,3,Åland,Sund,51
ALA,3,Åland,Vårdö,52
ALB,4,Albania,Berat,53
ALB,4,Albania,Dibër,54
ALB,4,Albania,Durrës,55
ALB,4,Albania,Elbasan,56
ALB,4,Albania,Fier,57
ALB,4,Albania,Gjirokastër,58
ALB,4,Albania,Korçë,59
ALB,4,Albania,Kukës,60
ALB,4,Albania,Lezhë,61
ALB,4,Albania,Shkodër,62
ALB,4,Albania,Tiranë,63
ALB,4,Albania,Vlorë,64
DZA,5,Algeria,Adrar,65
DZA,5,Algeria,Aïn Defla,66
DZA,5,Algeria,Aïn Témouchent,67
DZA,5,Algeria,Alger,68
DZA,5,Algeria,Annaba,69
DZA,5,Algeria,Batna,70
DZA,5,Algeria,Béchar,71
DZA,5,Algeria,Béjaïa,72
DZA,5,Algeria,Biskra,73
DZA,5,Algeria,Blida,74
DZA,5,Algeria,Bordj Bou Arréridj,75
DZA,5,Algeria,Bouira,76
DZA,5,Algeria,Boumerdès,77
DZA,5,Algeria,Chlef,78
DZA,5,Algeria,Constantine,79
DZA,5,Algeria,Djelfa,80
DZA,5,Algeria,El Bayadh,81
DZA,5,Algeria,El Oued,82
DZA,5,Algeria,El Tarf,83
DZA,5,Algeria,Ghardaïa,84
DZA,5,Algeria,Guelma,85
DZA,5,Algeria,Illizi,86
DZA,5,Algeria,Jijel,87
DZA,5,Algeria,Khenchela,88
DZA,5,Algeria,Laghouat,89
DZA,5,Algeria,M'Sila,90
DZA,5,Algeria,Mascara,91
DZA,5,Algeria,Médéa,92
DZA,5,Algeria,Mila,93
DZA,5,Algeria,Mostaganem,94
DZA,5,Algeria,Naâma,95
DZA,5,Algeria,Oran,96
DZA,5,Algeria,Ouargla,97
DZA,5,Algeria,Oum el Bouaghi,98
DZA,5,Algeria,Relizane,99
DZA,5,Algeria,Saïda,100
DZA,5,Algeria,Sétif,101
DZA,5,Algeria,Sidi Bel Abbès,102
DZA,5,Algeria,Skikda,103
DZA,5,Algeria,Souk Ahras,104
DZA,5,Algeria,Tamanghasset,105
DZA,5,Algeria,Tébessa,106
DZA,5,Algeria,Tiaret,107
DZA,5,Algeria,Tindouf,108
DZA,5,Algeria,Tipaza,109
DZA,5,Algeria,Tissemsilt,110
DZA,5,Algeria,Tizi Ouzou,111
DZA,5,Algeria,Tlemcen,112
ASM,6,American Samoa,Eastern,113
ASM,6,American Samoa,Manu'a,114
ASM,6,American Samoa,Unorganized,115
ASM,6,American Samoa,Western,116
AND,7,Andorra,Andorra la Vella,117
