"Area.Code","Area"
2,"Afghanistan"
3,"Albania"
4,"Algeria"
5,"American Samoa"
7,"Angola"
8,"Antigua and Barbuda"
9,"Argentina"
1,"Armenia"
10,"Australia"
11,"Austria"
52,"Azerbaijan"
12,"Bahamas"
13,"Bahrain"
16,"Bangladesh"
14,"Barbados"
57,"Belarus"
255,"Belgium"
23,"Belize"
53,"Benin"
17,"Bermuda"
18,"Bhutan"
19,"Bolivia (Plurinational State of)"
80,"Bosnia and Herzegovina"
20,"Botswana"
21,"Brazil"
239,"British Virgin Islands"
26,"Brunei Darussalam"
27,"Bulgaria"
233,"Burkina Faso"
29,"Burundi"
35,"Cabo Verde"
115,"Cambodia"
32,"Cameroon"
33,"Canada"
36,"Cayman Islands"
37,"Central African Republic"
39,"Chad"
40,"Chile"
351,"China"
96,"China, Hong Kong SAR"
128,"China, Macao SAR"
41,"China, mainland"
214,"China, Taiwan Province of"
44,"Colombia"
45,"Comoros"
46,"Congo"
47,"Cook Islands"
48,"Costa Rica"
107,"Côte d'Ivoire"
98,"Croatia"
49,"Cuba"
50,"Cyprus"
167,"Czechia"
116,"Democratic People's Republic of Korea"
250,"Democratic Republic of the Congo"
54,"Denmark"
72,"Djibouti"
55,"Dominica"
56,"Dominican Republic"
58,"Ecuador"
59,"Egypt"
60,"El Salvador"
61,"Equatorial Guinea"
178,"Eritrea"
63,"Estonia"
209,"Eswatini"
238,"Ethiopia"
64,"Faroe Islands"
66,"Fiji"
67,"Finland"
68,"France"
69,"French Guiana"
70,"French Polynesia"
74,"Gabon"
75,"Gambia"
73,"Georgia"
79,"Germany"
81,"Ghana"
84,"Greece"
86,"Grenada"
87,"Guadeloupe"
88,"Guam"
89,"Guatemala"
90,"Guinea"
175,"Guinea-Bissau"
91,"Guyana"
93,"Haiti"
95,"Honduras"
97,"Hungary"
99,"Iceland"
100,"India"
101,"Indonesia"
102,"Iran (Islamic Republic of)"
103,"Iraq"
104,"Ireland"
105,"Israel"
106,"Italy"
109,"Jamaica"
110,"Japan"
112,"Jordan"
108,"Kazakhstan"
114,"Kenya"
83,"Kiribati"
118,"Kuwait"
113,"Kyrgyzstan"
120,"Lao People's Democratic Republic"
119,"Latvia"
121,"Lebanon"
122,"Lesotho"
123,"Liberia"
124,"Libya"
126,"Lithuania"
256,"Luxembourg"
129,"Madagascar"
130,"Malawi"
131,"Malaysia"
132,"Maldives"
133,"Mali"
134,"Malta"
127,"Marshall Islands"
135,"Martinique"
136,"Mauritania"
137,"Mauritius"
138,"Mexico"
145,"Micronesia (Federated States of)"
141,"Mongolia"
273,"Montenegro"
142,"Montserrat"
143,"Morocco"
144,"Mozambique"
28,"Myanmar"
147,"Namibia"
148,"Nauru"
149,"Nepal"
150,"Netherlands"
153,"New Caledonia"
156,"New Zealand"
157,"Nicaragua"
158,"Niger"
159,"Nigeria"
160,"Niue"
162,"Norway"
299,"Palestine"
221,"Oman"
165,"Pakistan"
166,"Panama"
168,"Papua New Guinea"
169,"Paraguay"
170,"Peru"
171,"Philippines"
173,"Poland"
174,"Portugal"
177,"Puerto Rico"
179,"Qatar"
117,"Republic of Korea"
146,"Republic of Moldova"
182,"Réunion"
183,"Romania"
185,"Russian Federation"
184,"Rwanda"
188,"Saint Kitts and Nevis"
189,"Saint Lucia"
190,"Saint Pierre and Miquelon"
191,"Saint Vincent and the Grenadines"
244,"Samoa"
193,"Sao Tome and Principe"
194,"Saudi Arabia"
195,"Senegal"
272,"Serbia"
196,"Seychelles"
197,"Sierra Leone"
200,"Singapore"
199,"Slovakia"
198,"Slovenia"
25,"Solomon Islands"
201,"Somalia"
202,"South Africa"
277,"South Sudan"
203,"Spain"
38,"Sri Lanka"
276,"Sudan"
207,"Suriname"
210,"Sweden"
211,"Switzerland"
212,"Syrian Arab Republic"
208,"Tajikistan"
216,"Thailand"
154,"North Macedonia"
176,"Timor-Leste"
217,"Togo"
218,"Tokelau"
219,"Tonga"
220,"Trinidad and Tobago"
222,"Tunisia"
223,"Turkey"
213,"Turkmenistan"
227,"Tuvalu"
226,"Uganda"
230,"Ukraine"
225,"United Arab Emirates"
229,"United Kingdom"
215,"United Republic of Tanzania"
231,"United States of America"
234,"Uruguay"
235,"Uzbekistan"
155,"Vanuatu"
236,"Venezuela (Bolivarian Republic of)"
237,"Viet Nam"
243,"Wallis and Futuna Islands"
205,"Western Sahara"
249,"Yemen"
251,"Zambia"
181,"Zimbabwe"
