value,species,system,name,description,source,notes
1.35,chicken,broiler,carcass_to_live_wt,multiplier to convert carcass ready-to-cook weight (data provided in FAO Livestock Primary) to live weight of chicken at slaughter ,"Abdullah and Buchtova 2016, does not include neck, liver, heart, gizzard, giblets","FAO data for poultry meat includes meat from all domestic birds and refers, wherever possible, to ready-to-cook weight. Data on poultry-meat production reported by national statistical offices could be expressed in terms of either live weight, eviscerated weight, ready-to-cook weight or dressed weight. Data for countries reporting in other than ready-to-cook weight have been converted into the ready-to-cook equivalent. Ready-to-cook excludes: Blood, feathers, viscera, feet, head (may include or exclude: heart, liver, gizzard, neck). Definitions: http://www.fao.org/fileadmin/templates/ess/ess_test_folder/documents/Production_trade/definitions/Livestock_statistics_concepts_definitions_classifications.doc"
0.73,chicken,broiler,live_to_carcass_wt,multiplier to convert  live weight at slaughter to carcass ready-to-cook weight of dressed carcass (FAO data),"Abdullah and Buchtova 2016, does not include neck, liver, heart, gizzard, giblets",inverse of the live weight at slaughter to ready-to-cook weight
0.186,chicken,broiler,carcass_to_protein,multiplier to convert carcass ready-to-cook chicken weight to protein,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171447/nutrients,"includes: meat, skin, bone"
2150000,chicken,broiler,kcal_per_tonne_carcass_wt,convert tonnes of carcass weight to kcal,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171447/nutrients,"includes: meat, skin, bone"
13,chicken,broiler,kg_per_m2,area required per kg of chicken ,,"rearing density= 35 kg chickens/m2; 10% additional housing area; 60% chicken farm area does not house chickens, e.g. road access and outbuildings"
2010,NA,NA,reference_year,Year that GLEAM and FAO livestock maps are based on,,
2016,NA,NA,years_of_interest,"Year/s of data reported in this study (if multiple years, values for years are averaged)",,
0.09,chicken,NA,service_water,Liters/day * chicken ,Mekonnen et al. ,
0.028,chicken,NA,nitrogen_live_weight,"average content of nitrogen in live weight, kg N/kg head, GLEAM manuel",GLEAM,
0.0185,chicken,NA,nitrogen_egg,"average content of nitrogen in eggs, kgN/kg egg",GLEAM,
1,chicken,broiler,proportion_solid_manure_ms,"proportion of solid manure management (for broilers all ""Poultry manure with litter"" management system)",GLEAM,
1,chicken,broiler,n_p205_ratio_manure,nitrogen to P2O5 ratio of fresh chicken manure,https://www.clemson.edu/extension/camm/manuals/poultry/pch3b_00.pdf,
0.5,salmon,salmon,salmon_live_wt_raw_edible_wt,multiplier to convert live wt to raw edible weight,"https://www.gsmfc.org/pubs/FIN/Conversion_Factors/NMFS%20Conversion%20Factors%201980s.pdf, salmon unclassified, whole data",
0.1984,salmon,salmon,salmon_edible_wt_to_protein,"multiplier to convert raw edible weight (e.g., fillet) of salmon to protein",https://fdc.nal.usda.gov/fdc-app.html#/food-details/173686/nutrients,
1420000,salmon,salmon,salmon_kcal_per_tonne_edible_wt,convert tonnes of edible weight of salmon to kcal,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173686/nutrients,
