iso3c,country,hdi_index
AFG,Afghanistan,0.493
ALB,Albania,0.789
DZA,Algeria,0.758
AND,Andorra,0.852
AGO,Angola,0.576
ATG,Antigua and Barbuda,0.774
ARG,Argentina,0.832
ARM,Armenia,0.758
AUS,Australia,0.937
AUT,Austria,0.912
AZE,Azerbaijan,0.752
BHS,Bahamas,0.804
BHR,Bahrain,0.839
BGD,Bangladesh,0.609
BRB,Barbados,0.813
BLR,Belarus,0.815
BEL,Belgium,0.917
BLZ,Belize,0.719
BEN,Benin,0.515
BTN,Bhutan,0.615
BOL,Bolivia,0.7
BIH,Bosnia and Herzegovina,0.767
BWA,Botswana,0.724
BRA,Brazil,0.76
BRN,Brunei,0.843
BGR,Bulgaria,0.813
BFA,Burkina Faso,0.429
BDI,Burundi,0.421
CPV,Cape Verde,0.647
KHM,Cambodia,0.578
CMR,Cameroon,0.56
CAN,Canada,0.921
CAF,Central African Republic,0.376
TCD,Chad,0.401
CHL,Chile,0.845
CHN,China,0.753
COL,Colombia,0.76
COM,Comoros,0.539
COG,Republic of Congo,0.609
COD,Democratic Republic of the Congo,0.456
CRI,Costa Rica,0.792
HRV,Croatia,0.835
CUB,Cuba,0.777
CYP,Cyprus,0.871
CZE,Czech Republic,0.888
CIV,Côte d'Ivoire,0.512
DNK,Denmark,0.929
DJI,Djibouti,0.492
DMA,Dominica,0.723
DOM,Dominican Republic,0.741
ECU,Ecuador,0.757
EGY,Egypt,0.696
SLV,El Salvador,0.665
GNQ,Equatorial Guinea,0.59
ERI,Eritrea,0.431
EST,Estonia,0.879
SWZ,Swaziland,0.603
ETH,Ethiopia,0.467
FJI,Fiji,0.721
FIN,Finland,0.924
FRA,France,0.89
GAB,Gabon,0.7
GMB,Gambia,0.459
GEO,Georgia,0.783
DEU,Germany,0.938
GHA,Ghana,0.591
GRC,Greece,0.871
GRD,Grenada,0.76
GTM,Guatemala,0.649
GIN,Guinea,0.463
GNB,Guinea-Bissau,0.46
GUY,Guyana,0.668
HTI,Haiti,0.501
HND,Honduras,0.621
HKG,Hong Kong,0.937
HUN,Hungary,0.841
ISL,Iceland,0.935
IND,India,0.643
IDN,Indonesia,0.704
IRN,Iran,0.799
IRQ,Iraq,0.684
IRL,Ireland,0.939
ISR,Israel,0.904
ITA,Italy,0.881
JAM,Jamaica,0.725
JPN,Japan,0.913
JOR,Jordan,0.722
KAZ,Kazakhstan,0.813
KEN,Kenya,0.574
KIR,Kiribati,0.623
KOR,South Korea,0.904
KWT,Kuwait,0.809
KGZ,Kyrgyzstan,0.671
LAO,Laos,0.602
LVA,Latvia,0.849
LBN,Lebanon,0.732
LSO,Lesotho,0.514
LBR,Liberia,0.466
LBY,Libya,0.704
LIE,Liechtenstein,0.916
LTU,Lithuania,0.866
LUX,Luxembourg,0.908
MDG,Madagascar,0.518
MWI,Malawi,0.482
MYS,Malaysia,0.802
MDV,Maldives,0.716
MLI,Mali,0.426
MLT,Malta,0.883
MHL,Marshall Islands,0.696
MRT,Mauritania,0.524
MUS,Mauritius,0.793
MEX,Mexico,0.765
FSM,Micronesia,0.612
MDA,Moldova,0.709
MNG,Mongolia,0.729
MNE,Montenegro,0.813
MAR,Morocco,0.675
MOZ,Mozambique,0.442
MMR,Myanmar,0.577
NAM,Namibia,0.643
NPL,Nepal,0.574
NLD,Netherlands,0.932
NZL,New Zealand,0.92
NIC,Nicaragua,0.653
NER,Niger,0.373
NGA,Nigeria,0.533
MKD,Macedonia,0.758
NOR,Norway,0.953
OMN,Oman,0.833
PAK,Pakistan,0.558
PLW,Palau,0.811
PSE,Palestina,0.689
PAN,Panama,0.793
PNG,Papua New Guinea,0.543
PRY,Paraguay,0.722
PER,Peru,0.756
PHL,Philippines,0.709
POL,Poland,0.868
PRT,Portugal,0.848
QAT,Qatar,0.848
ROU,Romania,0.813
RUS,Russia,0.822
RWA,Rwanda,0.529
KNA,Saint Kitts and Nevis,0.774
LCA,Saint Lucia,0.744
VCT,Saint Vincent and the Grenadines,0.726
WSM,Samoa,0.706
STP,São Tomé and Príncipe,0.603
SAU,Saudi Arabia,0.856
SEN,Senegal,0.51
SRB,Serbia,0.794
SYC,Seychelles,0.8
SLE,Sierra Leone,0.435
SGP,Singapore,0.934
SVK,Slovakia,0.854
SVN,Slovenia,0.899
SLB,Solomon Islands,0.555
ZAF,South Africa,0.704
SSD,South Sudan,0.414
ESP,Spain,0.891
LKA,Sri Lanka,0.776
SDN,Sudan,0.507
SUR,Suriname,0.722
SWE,Sweden,0.935
CHE,Switzerland,0.943
SYR,Syria,0.544
TJK,Tajikistan,0.651
TZA,Tanzania,0.522
THA,Thailand,0.762
TLS,Timor-Leste,0.624
TGO,Togo,0.51
TON,Tonga,0.717
TTO,Trinidad and Tobago,0.799
TUN,Tunisia,0.738
TUR,Turkey,0.805
TKM,Turkmenistan,0.708
UGA,Uganda,0.522
UKR,Ukraine,0.747
ARE,United Arab Emirates,0.864
GBR,United Kingdom,0.919
USA,United States,0.919
URY,Uruguay,0.807
UZB,Uzbekistan,0.707
VUT,Vanuatu,0.595
VEN,Venezuela,0.735
VNM,Vietnam,0.69
YEM,Yemen,0.463
ZMB,Zambia,0.589
ZWE,Zimbabwe,0.553
ALA,Åland,NA
ASM,American Samoa,NA
AIA,Anguilla,NA
ABW,Aruba,NA
BMU,Bermuda,NA
BES,"Bonaire, Sint Eustatius and Saba",NA
IOT,British Indian Ocean Territory,NA
VGB,British Virgin Islands,NA
CYM,Cayman Islands,NA
CXR,Christmas Island,NA
CCK,Cocos Islands,NA
COK,Cook Islands,NA
CUW,Curaçao,NA
FLK,Falkland Islands,NA
FRO,Faroe Islands,NA
GUF,French Guiana,NA
PYF,French Polynesia,NA
GIB,Gibraltar,NA
GRL,Greenland,NA
GLP,Guadeloupe,NA
GUM,Guam,NA
GGY,Guernsey,NA
IMN,Isle of Man,NA
JEY,Jersey,NA
XKO,Kosovo,NA
MAC,Macao,NA
MTQ,Martinique,NA
MYT,Mayotte,NA
MCO,Monaco,NA
MSR,Montserrat,NA
NRU,Nauru,NA
NCL,New Caledonia,NA
NIU,Niue,NA
NFK,Norfolk Island,NA
PRK,North Korea,NA
MNP,Northern Mariana Islands,NA
PCN,Pitcairn Islands,NA
XMI,Madeira Island,NA
PRI,Puerto Rico,NA
REU,Reunion,NA
BLM,Saint-Barthélemy,NA
MAF,Saint-Martin,NA
SHN,Saint Helena,NA
SPM,Saint Pierre and Miquelon,NA
SMR,San Marino,NA
SXM,Sint Maarten,NA
SOM,Somalia,NA
SJM,Svalbard and Jan Mayen,NA
TWN,Taiwan,NA
TKL,Tokelau,NA
TCA,Turks and Caicos Islands,NA
TUV,Tuvalu,NA
VIR,"Virgin Islands, U.S.",NA
WLF,Wallis and Futuna,NA
ESH,Western Sahara,NA
