Zone,Country,ISO3,Year,Population,PCDEA,MDI,PIMII,Fortification
WCANA,Afghanistan,AFG,2011,29105000,2106,0.81,35.63,0
WCANA,Afghanistan,AFG,2011,29105000,2106,0.82,34.14,1
Subsaharan Africa,Angola,AGO,2011,20180000,2404,0.88,19.58,1
Subsaharan Africa,Angola,AGO,2011,20180000,2404,0.88,19.58,0
Other,Albania,ALB,2011,3154000,3016,0.99,0.91,0
Other,Albania,ALB,2011,3154000,3016,0.99,0.75,1
WCANA,United Arab Emirates,ARE,2011,8925000,3201,0.94,6.29,1
WCANA,United Arab Emirates,ARE,2011,8925000,3201,0.94,6.59,0
Latin America,Argentina,ARG,2011,40729000,3153,0.95,7.63,0
Latin America,Argentina,ARG,2011,40729000,3153,0.98,3.86,1
WCANA,Armenia,ARM,2011,2964000,2802,0.99,2.59,1
WCANA,Armenia,ARM,2011,2964000,2802,0.99,2.59,0
Latin America,Antigua and Barbuda,ATG,2011,88000,2386,0.99,6.54,0
Latin America,Antigua and Barbuda,ATG,2011,88000,2386,0.99,5.93,1
High Income NES,Australia,AUS,2011,22741000,3250,0.99,2.05,1
High Income NES,Australia,AUS,2011,22741000,3250,0.97,4.57,0
High Income NES,Austria,AUT,2011,8433000,3779,0.92,4.77,0
High Income NES,Austria,AUT,2011,8433000,3779,0.92,4.77,1
WCANA,Azerbaijan,AZE,2011,9202000,2943,0.97,3.86,1
WCANA,Azerbaijan,AZE,2011,9202000,2943,0.93,8.69,0
High Income NES,Belgium,BEL,2011,11007000,3788,0.95,1.84,1
High Income NES,Belgium,BEL,2011,11007000,3788,0.95,1.85,0
Subsaharan Africa,Benin,BEN,2011,9780000,2591,0.8,26.11,0
Subsaharan Africa,Benin,BEN,2011,9780000,2591,0.91,14.31,1
Subsaharan Africa,Burkina Faso,BFA,2011,15995000,2659,0.76,31.65,0
Subsaharan Africa,Burkina Faso,BFA,2011,15995000,2659,0.8,25.81,1
South Asia,Bangladesh,BGD,2011,152862000,2427,0.68,52.91,1
South Asia,Bangladesh,BGD,2011,152862000,2427,0.68,52.91,0
Other,Bulgaria,BGR,2011,7333000,2872,0.93,10.75,1
Other,Bulgaria,BGR,2011,7333000,2872,0.88,18.43,0
Latin America,Bahamas,BHS,2011,366000,2493,0.98,8.34,1
Latin America,Bahamas,BHS,2011,366000,2493,0.98,8.64,0
Other,Bosnia and Herzegovina,BIH,2011,3839000,3120,0.95,6.06,1
Other,Bosnia and Herzegovina,BIH,2011,3839000,3120,0.95,6.06,0
