rgn_abbr,region,filename,iso3c
SA,SOUTH ASIA,Afghanistan,AFG
WE,WESTERN EUROPE,Albania,ALB
NENA,NEAR EAST AND NORTH AFRICA,Algeria,DZA
OCE,OCEANIA,American-Samoa,ASM
WE,WESTERN EUROPE,Andorra,AND
SSA,SUB-SAHARAN AFRICA,Angola,AGO
LAC,LATIN AMERICA AND THE CARIBBEAN,Anguilla,AIA
LAC,LATIN AMERICA AND THE CARIBBEAN,Antigua-and-Barbuda,ATG
LAC,LATIN AMERICA AND THE CARIBBEAN,Argentina,ARG
NENA,NEAR EAST AND NORTH AFRICA,Armenia,ARM
LAC,LATIN AMERICA AND THE CARIBBEAN,Aruba,ABW
OCE,OCEANIA,Australia,AUS
WE,WESTERN EUROPE,Austria,AUT
NENA,NEAR EAST AND NORTH AFRICA,Azerbaijan,AZE
LAC,LATIN AMERICA AND THE CARIBBEAN,Bahamas,BHS
NENA,NEAR EAST AND NORTH AFRICA,Bahrain,BHR
SA,SOUTH ASIA,Bangladesh,BGD
LAC,LATIN AMERICA AND THE CARIBBEAN,Barbados,BRB
EE,EASTERN EUROPE,Belarus,BLR
WE,WESTERN EUROPE,Belgium,BEL
LAC,LATIN AMERICA AND THE CARIBBEAN,Belize,BLZ
SSA,SUB-SAHARAN AFRICA,Benin,BEN
NA,NORTH AMERICA,Bermuda,BMU
SA,SOUTH ASIA,Bhutan,BTN
LAC,LATIN AMERICA AND THE CARIBBEAN,Bolivia,BOL
WE,WESTERN EUROPE,Bosnia-and-Herzegovina,BIH
SSA,SUB-SAHARAN AFRICA,Botswana,BWA
LAC,LATIN AMERICA AND THE CARIBBEAN,Brazil,BRA
SA,SOUTH ASIA,British-Indian-Territory,IND
LAC,LATIN AMERICA AND THE CARIBBEAN,British-Virgin-Islands,VGB
ESEA,EAST ASIA AND SOUTHEAST ASIA,Brunei-Darussalam,BRN
EE,EASTERN EUROPE,Bulgaria,BGR
SSA,SUB-SAHARAN AFRICA,Burkina-Faso,BFA
SSA,SUB-SAHARAN AFRICA,Burundi,BDI
SSA,SUB-SAHARAN AFRICA,Cabo-Verde,CPV
ESEA,EAST ASIA AND SOUTHEAST ASIA,Cambodia,KHM
SSA,SUB-SAHARAN AFRICA,Cameroon,CMR
NA,NORTH AMERICA,Canada,CAN
LAC,LATIN AMERICA AND THE CARIBBEAN,Cayman-Islands,CYM
SSA,SUB-SAHARAN AFRICA,Central-African-Republic,CAF
SSA,SUB-SAHARAN AFRICA,Chad,TCD
LAC,LATIN AMERICA AND THE CARIBBEAN,Chile,CHL
ESEA,EAST ASIA AND SOUTHEAST ASIA,China,CHN
ESEA,EAST ASIA AND SOUTHEAST ASIA,Christmas-Island,CXR
LAC,LATIN AMERICA AND THE CARIBBEAN,Colombia,COL
SSA,SUB-SAHARAN AFRICA,Comoros,COM
SSA,SUB-SAHARAN AFRICA,Congo,COG
OCE,OCEANIA,Cook-Islands,COK
LAC,LATIN AMERICA AND THE CARIBBEAN,Costa-Rica,CRI
SSA,SUB-SAHARAN AFRICA,Cote-dIvoire,CIV
WE,WESTERN EUROPE,Croatia,HRV
LAC,LATIN AMERICA AND THE CARIBBEAN,Cuba,CUB
NENA,NEAR EAST AND NORTH AFRICA,Cyprus,CYP
EE,EASTERN EUROPE,Czech-Republic,CZE
ESEA,EAST ASIA AND SOUTHEAST ASIA,Democratic-Peoples-Republic-of-Korea,PRK
SSA,SUB-SAHARAN AFRICA,Democratic-Republic-of-the-Congo,COD
WE,WESTERN EUROPE,Denmark,DNK
SSA,SUB-SAHARAN AFRICA,Djibouti,DJI
LAC,LATIN AMERICA AND THE CARIBBEAN,Dominica,DMA
LAC,LATIN AMERICA AND THE CARIBBEAN,Dominican-Republic,DOM
LAC,LATIN AMERICA AND THE CARIBBEAN,Ecuador,ECU
NENA,NEAR EAST AND NORTH AFRICA,Egypt,EGY
LAC,LATIN AMERICA AND THE CARIBBEAN,El-Salvador,SLV
SSA,SUB-SAHARAN AFRICA,Equatorial-Guinea,GNQ
SSA,SUB-SAHARAN AFRICA,Eritrea,ERI
WE,WESTERN EUROPE,Estonia,EST
SSA,SUB-SAHARAN AFRICA,Ethiopia,ETH
LAC,LATIN AMERICA AND THE CARIBBEAN,Falkland-Islands-Malvinas,FLK
