Country,Source,Cum_energy_use,Biotic_res_use,GHG_emissions,Acidifying_emissions,Eutrophying_emissions
Norway,Feeds_production,"24,540","111,129","1,684",16,6.3
Norway,Feeds_transport,191,NA,13.4,0.1,<0.1
Norway,Smolt_production,695,NA,46.2,0.4,0.2
Norway,Smolt_transport,0.8,NA,<0.1,<0.1,<0.1
Norway,Farm_energy,755,NA,49.8,0.6,0.1
Norway,NP_emissions,NA,NA,NA,NA,34.4
UK,Feeds_production,"44,700","137,218","3,060",28.3,9.6
UK,Feeds_transport,290,NA,33.1,0.2,<0.1
UK,Smolt_production,"1,230",NA,83.1,0.7,0.3
UK,Smolt_transport,16.2,NA,1.1,<0.1,<0.1
UK,Farm_energy,"1,430",NA,92.3,0.4,0.1
UK,NP_emissions,NA,NA,NA,NA,52.7
Canada,Feeds_production,"29,400","18,377","2,240",26.8,9
Canada,Feeds_transport,259,NA,18.3,0.1,<0.1
Canada,Smolt_production,502,NA,36.1,0.4,0.2
Canada,Smolt_transport,3.7,NA,0.2,<0.1,<0.1
Canada,Farm_energy,988,NA,72.6,0.8,0.2
Canada,NP_emissions,NA,NA,NA,NA,65.5
Chile,Feeds_production,"30,700","56,565","2,130",19.1,7.2
Chile,Feeds_transport,507,NA,31.3,0.2,<0.1
Chile,Smolt_production,526,NA,35.8,0.3,0.1
Chile,Smolt_transport,5.1,NA,0.3,<0.1,<0.1
Chile,Farm_energy,"1,550",NA,100,0.8,0.2
Chile,NP_emissions,NA,NA,NA,NA,43.8
Gbl_wgtd_avg,Feeds_production,"28,985","89,374","2,014",19.2,7.2
Gbl_wgtd_avg,Feeds_transport,305,NA,21.4,0.1,<0.1
Gbl_wgtd_avg,Smolt_production,683,NA,46.1,0.4,0.2
Gbl_wgtd_avg,Smolt_transport,4,NA,0.2,<0.1,<0.1
Gbl_wgtd_avg,Farm_energy,"1,092",NA,71.7,0.7,0.1
Gbl_wgtd_avg,NP_emissions,NA,NA,NA,NA,41.8
