#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,1,Wheat,WHEAT - whole,346,12,1,71,0,,37,41,5,3,284,1,1,17,306,0,0,6,1,,138,2,,,,,,13,1,
1,1,Wheat,WHEAT - flour - whole,341,12,2,69,0,,36,48,5,2,315,2,0,20,355,0,0,4,,,132,2,,,,,,12,3,
2,2,Rice (Milled Equivalent),RICE - raw - milled,345,7,0,78,0,,8,10,1,1,,0,0,,160,0,0,2,,,91,1,,,,,,14,1,
3,3,Barley,BARLEY,336,11,1,70,0,,,26,2,1,,4,1,,215,0,0,5,,,21,1,,,,,,12,1,
4,4,Maize,MAIZE - dry,342,11,4,66,0,,20,10,2,3,286,3,0,16,348,0,0,2,,,139,0,,,,,,15,1,
5,6,Oats,OATMEAL,374,13.6,7.6,62.8,0,,34,50,3.8,,,3.5,,,380,0.98,0.16,1.1,,,,,,,,,,10.7,1.8,
6,7,Millet,Bajra [pearl millet],361,12,5,67,0,,45,42,8,3,307,1,1,11,296,0,0,2,,,137,1,,,,,,12,2,
7,7,Millet,ITALIAN MILLET,331,12,4,61,0,,15,31,3,2,250,8,1,5,290,1,0,3,,,81,1,,,,,,11,3,
8,7,Millet,PANIVARAGU,341,12,1,70,0,,,14,1,1,113,2,2,8,206,0,0,2,,748,153,1,,,,,,12,2,
9,7,Millet,SAMAI,341,8,5,67,0,,9,17,9,4,129,8,1,8,220,0.3,0.09,3.2,2.2,,133,1,,,,,,11,1,
10,7,Millet,SANWA MILLET,307,6,2,65,0,,,20,5,3,,10,1,,280,0.33,0.1,4.2,,,82,1,,,,,,12,4,
11,7,Millet,VARAGU,309,8,9,66,0,,23,27,0,1,144,9,2,5,188,0,0,2,,,147,1,,,,,,13,3,
12,8,Sorghum,JOWAR,349,10,2,73,0,,20,25,4,2,131,2,0,7,222,0,0,3,0,,171,1,,,,,,12,2,
13,9,Buckwheat,Buckwheat,323,10.3,2.4,65.1,0,,,64,15.5,,362,8.6,0.17,16.2,355,0.9,0.34,4.4,,,227,,,,,,,11.3,2.3,
14,17,Cassava,TAPIOCA,157,1,0,38,25,,,50,1,,,1,,,40,0,0,0,,,,,,,,,,59,1,
15,18,Potatoes,POTATO,97,2,0,23,17,,7,10,0,0.5,247,0,0,11,40,0,0,1,,100,30,0,,,,,,75,1,
16,19,Sweet Potatoes,SWEET POTATO,120,1,0,28,24,,,46,0,0,393,1,0,9,50,0,0,1,,,27,0,,,,,,68,1,
17,20,Yams,YAM - elephant,79,1,0,18,43,,,50,1,,,1,,,34,0.06,0.07,0.7,,,,,,,,,,79,1,
18,20,Yams,YAM - wild,110,2,0,24,1,,,20,1,,450,1,0,11,74,0,0,1,,,34,,,,,,,70,1,
19,20,Yams,YAM - ordinary,111,1,0,26,,,17,35,1,0,237,1,0,9,20,0,,1,,,17,0,,,,,,70,2,
20,20,Yams,KHAMALU,79,1,0,18,,,,16,0,,,0,,,31,,,,,,,,,,,,,80,1,
21,22,Taro (cocoyam),COLOCASIA,97,3,0,21,0,,54,40,0,0,550,1,0,9,140,0,0,0,,,28,0,,,,,,73,2,
22,23,Roots and tubers; nes,BANANA RHIZOME,51,0,0,12,1,,,25,1,,,1,,,10,0,0,0,,,,,,,,,,85,1,
23,23,Roots and tubers; nes,MANGO GINGER,53,1,1,10,1,,,25,3,,,1,,,90,0,0,0,,,,,,,,,,85,1,
24,23,Roots and tubers; nes,PARSNIP,101,1,0,23,16,,,50,0,,,2,,,40,0,,0,,,,,,,,,,72,1,
25,24,Flour of roots and tubers,ARROW ROOT FLOUR,334,0,0,83,,,,10,1,,20,,,30,20,,,,,,,,,,,,,16,0,
26,26,Sugar; Non-Centrifugal,JAGGERY - cane,383,0,0,95,,,,80,3,,,,,,40,,,,,,,,,,,,,4,1,
27,26,Sugar; Non-Centrifugal,JAGGERY - coconut palm,340,1,0,83,,,,1638,,,,,,,62,,,,,,,,,,,,,10,5,
28,26,Sugar; Non-Centrifugal,JAGGERY - date palm,353,1,0,86,,,,363,,,,,,,62,,,,,,,,,,,,,10,3,
29,26,Sugar; Non-Centrifugal,JAGGERY - sago palm,349,2,0,85,,,,1252,,,,,,,372,,,,,,,,,,,,,9,4,
30,26,Sugar; Non-Centrifugal,JAGGERY - fan palm,359,1,0,98,,,,225,,,,,,,44,,,,,,,,,,,,,9,2,
31,29,Honey,HONEY,319,0,0,79,,,,5,1,,,,,,16,,,,,,,,,,,,,21,0,
32,30,Beans,BLACK GRAM - dhal,347,24,1,60,0,,132,154,4,3,800,1,1,40,385,0,0,2,,206,130,1,,,,,,11,3,
33,30,Beans,GREEN GRAM - whole,334,24,1,57,0,,,124,4,3,843,4,0,28,326,0,0,2,,167,127,2,,,,,,10,3,
34,30,Beans,MOTH BEANS,330,24,1,56,2,,,202,9,,1096,4,1,29,230,0,0,1,,,225,,,,,,,11,3,
