#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,1,Wheat,Wheat,338,11.9,1.3,75.2,,,,34,5.1,2.33,,,,6.8,,0.4,0.1,,,,,,,,,,,10,,
1,2,Rice (Milled Equivalent),Rice (mean),347,7.4,0.8,77.9,,,,13,2.3,1.7,,,,3.8,,0.11,0.05,,,,,,,,,,,13.3,,
2,2,Rice (Milled Equivalent),Indica (standard) [Jimi],349,7.9,0.6,78.3,,,,12,1.6,1.47,,,,1.7,,0.09,0.04,,,,,,,,,,,12.6,,
3,2,Rice (Milled Equivalent),Sticky [glutinous] (mean),350,7.3,1,78.3,,,,26,1.4,1.54,,,,1.5,,0.11,0.04,,,,,,,,,,,12.6,,
4,3,Barley,Barley [yuan Jimmy],327,10.2,1.4,73.3,,,,66,6.4,4.36,,,,,,0.43,0.14,,,,,,,,,,,13.1,,
5,3,Barley,Barley,342,8.1,1.5,75,,,,113,40.7,2.38,,,,77,,0.34,0.11,,,,,,,,,,,12.4,,
6,4,Maize,"Corn (white, dry)",352,8.8,3.8,74.7,,,,10,2.2,1.85,,,,2.5,,0.27,0.07,,,,,,,,,,,11.7,,
7,4,Maize,"Corn (yellow, dry)",348,8.7,3.8,73,,17,,14,2.4,1.7,,,,3.3,,0.21,0.13,,,,,,,,,,,13.2,,
8,6,Oats,Oat noodles,376,12.2,7.2,67.8,,3,,27,13.6,2.21,,,,2.2,,0.39,0.04,,,,,,,,,,,11,,
9,7,Millet,Millet (skin),336,10.6,0.6,75.1,,,,99,5,2.07,,,,9.6,,0.45,0.18,,,,,,,,,,,9.4,,
10,8,Sorghum,"Sorghum, rice",360,10.4,3.1,74.7,,,,22,6.3,1.64,,,,6.3,,0.29,0.1,,,,,,,,,,,10.3,,
11,9,Buckwheat,Bitter buckwheat,316,9.7,2.7,66,,,,39,4.4,2.02,,,,2.3,,0.32,0.21,,,,,,,,,,,19.3,,
12,9,Buckwheat,Buckwheat,337,9.3,2.3,73,,3,,47,6.2,3.62,,,,4.7,,0.28,0.16,,,,,,,,,,,13,,
13,13,Cereals; nes,"Barley [barley rice, Coix]; Adlay - Job's Tears",361,12.8,3.3,71.1,,,,42,3.6,1.68,,,,3.6,,0.22,0.15,,,,,,,,,,,11.2,,
14,17,Cassava,Cassava,119,2.1,0.3,27.8,35,,,88,2.5,,,,,8,,0.21,0.09,,,,,,,,,,,69,,
15,18,Potatoes,"Potatoes [potatoes, potato]",77,2,0.2,17.2,27,5,,8,0.8,0.37,,,,2.7,,0.08,0.04,,,,,,,,,,,79.8,,
16,19,Sweet Potatoes,Sweet potatoes (white heart) [Redskins potato],106,1.4,0.2,25.2,24,37,,24,0.8,0.22,,,,58.2,,0.07,0.04,,,,,,,,,,,72.6,,
17,19,Sweet Potatoes,"Sweet (Red) [potato, sweet potato]",102,1.1,0.2,24.7,26,125,,23,0.5,0.15,,,,28.5,,0.04,0.04,,,,,,,,,,,73.4,,
18,20,Yams,Big potato [Participation potato] (Fresh),108,2.1,0.2,24.9,,,,10,0.8,0.38,,,,,,0.05,,,,,,,,,,,,72.1,,
19,20,Yams,"Yam [yam, yam] (Fresh)",57,1.9,0.2,12.4,5,3,,16,0.3,0.27,,,,18.6,,0.05,0.02,,,,,,,,,,,84.8,,
20,22,Taro (cocoyam),"Taro [taro, taro hair]",81,2.2,0.2,18.1,6,27,,36,1,0.49,,,,33.1,,0.06,0.05,,,,,,,,,,,78.6,,
21,22,Taro (cocoyam),Betel nut taro (fresh),90,3,0.1,19.7,6,,,45,1.4,,,,,,,0.03,0.04,,,,,,,,,,,76.4,,
22,23,Roots and tubers; nes,"Jicama [cold potato, sweet potato, turnip] (Fresh)",56,0.9,0.1,13.4,13,,,21,0.6,0.23,,,,5.5,,0.03,0.03,,,,,,,,,,,85.2,,
23,23,Roots and tubers; nes,"GE [GE Department, kudzu] (Fresh)",150,2.2,0.2,36.1,24,,,,1.3,,,,,,,0.09,0.05,,,,,,,,,,,60.1,,
24,23,Roots and tubers; nes,"Yang Jiang [artichoke, devils ginger] (Fresh)",64,2.4,,15.8,5,,,23,7.2,0.34,,,,11.5,,0.01,0.1,,,,,,,,,,,80.8,,
25,24,Flour of roots and tubers,Lotus root starch,373,0.2,,93,,,,8,17.9,0.15,,,,10.8,,,0.01,,,,,,,,,,,6.4,,
26,24,Flour of roots and tubers,"Konjac [konjac powder, Southern Star Powder]",186,4.6,0.1,78.8,,,,45,1.6,2.05,,,,49.9,,,0.1,,,,,,,,,,,12.2,,
27,24,Flour of roots and tubers,Tuanfen [Qianfen],348,1.5,,85.8,,,,34,3.6,0.18,,,,13.3,,0.01,,,,,,,,,,,,12.6,,
28,27,Sugar (Raw Equivalent),"Sugar (white sugar); cane sugar, powdered",396,0.1,,98.9,,,,6,0.2,0.07,,,,2,,,,,,,,,,,,,,0.9,,
29,27,Sugar (Raw Equivalent),"Sugar (white sugar); beet sugar, granulated",400,,,99.9,,,,20,0.6,0.06,,,,0.4,,,,,,,,,,,,,,,,
30,29,Honey,Honey,321,0.4,1.9,75.6,3,,,4,1,0.37,,,,0.3,,,0.05,,,,,,,,,,,22,,
31,29,Honey,Honey (Sophora japonica),362,0.2,0.3,89.5,,,,2,0.3,0.82,,,,2,,0.01,0.01,,,,,,,,,,,5,,
32,29,Honey,Honey (Tianma),326,5.2,0.3,75.7,6,38,,20,8.5,1.19,,,,11.1,,0.11,0.14,,,,,,,,,,,18.2,,
33,29,Honey,Honey (hard honey),328,0.3,0.5,80.5,3,,,10,15.9,0.67,,,,15.4,,,0.02,,,,,,,,,,,18.5,,
34,29,Honey,Honey (canola flower),338,0.2,0.3,83.7,9,,,5,1.3,0.11,,,,4,,0.01,,,,,,,,,,,,15.8,,
35,30,Beans,Green beans (dry),329,21.6,0.8,62,,22,,81,6.5,2.18,,,,3.2,,0.25,0.11,,,,,,,,,,,12.3,,
36,30,Beans,"Flowers beans (dry, red)",328,19.1,1.3,62.7,,72,,38,0.3,1.27,,,,12.5,,0.25,,,,,,,,,,,,14.8,,
37,30,Beans,"Flowers beans (dry, purple)",330,17.2,1.4,65.8,,47,,221,5.9,3.4,,,,19.6,,0.14,,,,,,,,,,,,13.2,,
38,30,Beans,Beans (dry white),315,23.4,1.4,57.2,,,,,,,,,,,,0.18,0.26,,,,,,,,,,,14.4,,
39,30,Beans,"Beans (dry, red)",331,21.4,1.3,62.5,,30,,176,5.4,2.07,,,,0.6,,0.18,0.09,,,,,,,,,,,11.1,,
40,30,Beans,"Beans (dry, tiger)",341,22.5,0.9,62.5,,,,156,1.7,1.2,,,,3.3,,0.37,0.28,,,,,,,,,,,10.2,,
41,30,Beans,"Beans (dry, miscellaneous, skin)",327,22.4,0.6,63.3,,,,349,8.7,2.22,,,,10.5,,,,,,,,,,,,,,9.8,,
42,31,Peas,Peas (dry),334,20.3,1.1,65.8,,42,,97,4.9,2.35,,,,9.7,,0.49,0.14,,,,,,,,,,,10.4,,
43,32,Broad beans; horse beans; dry,Beans (skin),326,24.6,1.1,59.9,,8,,49,2.9,4.76,,,,21.2,,0.13,0.23,,,,,,,,,,,11.5,,
