iso3c,nutrient,country_application,reported_by_fao
MNP,P2O5,NA,No
MNP,K2O,NA,No
PLW,N,NA,No
PLW,P2O5,NA,No
PLW,K2O,NA,No
PSE,N,NA,No
PSE,P2O5,NA,No
PSE,K2O,NA,No
PCN,N,NA,No
PCN,P2O5,NA,No
PCN,K2O,NA,No
PRI,N,NA,No
PRI,P2O5,NA,No
PRI,K2O,NA,No
REU,N,NA,No
REU,P2O5,NA,No
REU,K2O,NA,No
BLM,N,NA,No
BLM,P2O5,NA,No
BLM,K2O,NA,No
MAF,N,NA,No
MAF,P2O5,NA,No
MAF,K2O,NA,No
SHN,N,NA,No
SHN,P2O5,NA,No
SHN,K2O,NA,No
SPM,N,NA,No
SPM,P2O5,NA,No
SPM,K2O,NA,No
VCT,N,NA,No
VCT,P2O5,NA,No
VCT,K2O,NA,No
SMR,N,NA,No
SMR,P2O5,NA,No
SMR,K2O,NA,No
STP,N,NA,No
STP,P2O5,NA,No
STP,K2O,NA,No
SLE,N,NA,No
SLE,P2O5,NA,No
SLE,K2O,NA,No
SXM,N,NA,No
SXM,P2O5,NA,No
SXM,K2O,NA,No
SLB,N,NA,No
SLB,P2O5,NA,No
SLB,K2O,NA,No
SOM,N,NA,No
SOM,P2O5,NA,No
SOM,K2O,NA,No
SSD,N,NA,No
SSD,P2O5,NA,No
SSD,K2O,NA,No
SJM,N,NA,No
SJM,P2O5,NA,No
SJM,K2O,NA,No
SWZ,N,NA,No
SWZ,P2O5,NA,No
SWZ,K2O,NA,No
TLS,N,NA,No
TLS,P2O5,NA,No
TLS,K2O,NA,No
TKL,N,NA,No
TKL,P2O5,NA,No
TKL,K2O,NA,No
TKM,N,NA,No
TKM,P2O5,NA,No
TKM,K2O,NA,No
TCA,N,NA,No
TCA,P2O5,NA,No
TCA,K2O,NA,No
TUV,N,NA,No
TUV,P2O5,NA,No
TUV,K2O,NA,No
VUT,N,NA,No
VUT,P2O5,NA,No
VUT,K2O,NA,No
VIR,N,NA,No
VIR,P2O5,NA,No
VIR,K2O,NA,No
WLF,N,NA,No
WLF,P2O5,NA,No
WLF,K2O,NA,No
ESH,N,NA,No
ESH,P2O5,NA,No
ESH,K2O,NA,No
AFG,N,140775.85,Yes
AFG,P2O5,16656.69,Yes
AFG,K2O,31.48,Yes
ALB,N,39184.92,Yes
ALB,P2O5,21263.69,Yes
ALB,K2O,634.25,Yes
DZA,N,70200,Yes
DZA,P2O5,58800,Yes
DZA,K2O,26700,Yes
AGO,N,26714.79,Yes
AGO,P2O5,11948.84,Yes
AGO,K2O,13642.31,Yes
ATG,N,8.98,Yes
ATG,P2O5,6.51,Yes
ATG,K2O,5.56,Yes
ARG,N,917292.4952,Yes
ARG,P2O5,618703.83456,Yes
ARG,K2O,42132,Yes
ARM,N,90106.3,Yes
ARM,P2O5,23,Yes
ARM,K2O,210,Yes
AUS,N,1387748.561,Yes
AUS,P2O5,637971.3091500001,Yes
AUS,K2O,184087.05206000002,Yes
AUT,N,94564.969,Yes
AUT,P2O5,28079.366,Yes
AUT,K2O,28881.138,Yes
AZE,N,71689,Yes
AZE,P2O5,1329,Yes
AZE,K2O,3795,Yes
BHS,N,662.96,Yes
BHS,P2O5,403.54,Yes
BHS,K2O,452.54,Yes
BHR,N,156.39,Yes
BHR,P2O5,70.75,Yes
BHR,K2O,111.63,Yes
BGD,N,1240440,Yes
BGD,P2O5,642160,Yes
BGD,K2O,473400,Yes
BRB,N,541.96,Yes
BRB,P2O5,164.81,Yes
BRB,K2O,328.21,Yes
BLR,N,373077.782,Yes
BLR,P2O5,77070.784,Yes
BLR,K2O,306552.4,Yes
BEL,N,140960.62005,Yes
BEL,P2O5,16763.37431,Yes
BEL,K2O,51752.852580000006,Yes
BLZ,N,13578.74,Yes
BLZ,P2O5,10189.08,Yes
BLZ,K2O,6241.29,Yes
BEN,N,45.91,Yes
BEN,P2O5,0,Yes
BEN,K2O,0,Yes
BMU,N,24.08,Yes
BMU,P2O5,15.15,Yes
BMU,K2O,15.21,Yes
BTN,N,1273.7,Yes
BTN,P2O5,1593,Yes
BTN,K2O,14.6,Yes
BOL,N,14217.05,Yes
BOL,P2O5,15733.66,Yes
BOL,K2O,2460.75,Yes
BIH,N,89163.38,Yes
BIH,P2O5,10948.31,Yes
BIH,K2O,12755.78,Yes
BWA,N,21156,Yes
BWA,P2O5,1123,Yes
BWA,K2O,974,Yes
BRA,N,5069252.5758,Yes
BRA,P2O5,5107665.59146,Yes
BRA,K2O,6231075.93864,Yes
BRN,N,243,Yes
BRN,P2O5,232,Yes
BRN,K2O,234,Yes
BGR,N,276685.255,Yes
BGR,P2O5,62534.44,Yes
BGR,K2O,31856.682,Yes
BFA,N,58292.15,Yes
BFA,P2O5,25222.34,Yes
BFA,K2O,25530.23,Yes
BDI,N,10147.51,Yes
BDI,P2O5,6541.2,Yes
BDI,K2O,4613.24,Yes
KHM,N,114968.2,Yes
KHM,P2O5,2249.75,Yes
KHM,K2O,2168.69,Yes
CMR,N,46470.08,Yes
CMR,P2O5,9930.39,Yes
CMR,K2O,24375.49,Yes
CAN,N,2411696,Yes
CAN,P2O5,1023000,Yes
CAN,K2O,427000,Yes
CAF,N,86.18,Yes
CAF,P2O5,67.7,Yes
CAF,K2O,182.3,Yes
CHL,N,210944.304,Yes
CHL,P2O5,53482.15236,Yes
CHL,K2O,25778.953,Yes
HKG,N,8002.925,Yes
HKG,P2O5,274.32,Yes
HKG,K2O,244.6049,Yes
MAC,N,0,Yes
MAC,P2O5,0,Yes
MAC,K2O,0,Yes
CHN,N,28954091.18,Yes
CHN,P2O5,9507859.9008,Yes
CHN,K2O,10184964.6726,Yes
TWN,N,154736.76,Yes
TWN,P2O5,127887.97,Yes
TWN,K2O,121340.85,Yes
COL,N,612579.86,Yes
COL,P2O5,223044.25,Yes
COL,K2O,344707.27,Yes
COG,N,332.94,Yes
COG,P2O5,385.84,Yes
COG,K2O,551.2,Yes
COK,N,13.62,Yes
COK,P2O5,4.34,Yes
COK,K2O,3.13,Yes
CRI,N,90742.34,Yes
CRI,P2O5,20459.34,Yes
CRI,K2O,48866.2,Yes
CIV,N,33026.26,Yes
CIV,P2O5,43841.24,Yes
CIV,K2O,60552.58,Yes
HRV,N,81386.724,Yes
HRV,P2O5,30659.496,Yes
HRV,K2O,35995.674,Yes
CUB,N,67895.85,Yes
CUB,P2O5,21359.39,Yes
CUB,K2O,42482.89,Yes
CYP,N,6592.844,Yes
CYP,P2O5,4474.323,Yes
CYP,K2O,2935.218,Yes
CZE,N,302718.38800000004,Yes
CZE,P2O5,49742.569,Yes
CZE,K2O,29126.526,Yes
COD,N,16043.54,Yes
COD,P2O5,1534.29,Yes
COD,K2O,3595.94,Yes
DNK,N,181404.931,Yes
DNK,P2O5,28799.465,Yes
DNK,K2O,54490.722,Yes
DMA,N,103.6,Yes
DMA,P2O5,104.84,Yes
DMA,K2O,39.85,Yes
DOM,N,70494.35,Yes
DOM,P2O5,20171.37,Yes
DOM,K2O,41729.65,Yes
ECU,N,181380.2,Yes
ECU,P2O5,53343.89,Yes
ECU,K2O,122092.53,Yes
EGY,N,1312900,Yes
EGY,P2O5,264300,Yes
EGY,K2O,79500,Yes
SLV,N,60253.15,Yes
SLV,P2O5,10474.4,Yes
SLV,K2O,12780.63,Yes
ERI,N,1774.33,Yes
ERI,P2O5,0,Yes
ERI,K2O,0.03,Yes
EST,N,30874.391,Yes
EST,P2O5,8365.195,Yes
EST,K2O,11214.06,Yes
ETH,N,376625.94,Yes
ETH,P2O5,173486.96,Yes
ETH,K2O,8813.68,Yes
FJI,N,5064.69,Yes
FJI,P2O5,2874.56,Yes
FJI,K2O,677.41,Yes
FIN,N,114909.996,Yes
FIN,P2O5,25244.24364,Yes
FIN,K2O,28929.186,Yes
FRA,N,1847419.587,Yes
FRA,P2O5,405060.632,Yes
FRA,K2O,397144.176,Yes
PYF,N,343.26,Yes
PYF,P2O5,179.79,Yes
PYF,K2O,218.56,Yes
GAB,N,7746.13,Yes
GAB,P2O5,5708.08,Yes
GAB,K2O,6247.64,Yes
GMB,N,37.48,Yes
GMB,P2O5,39.55,Yes
GMB,K2O,95.18,Yes
GEO,N,39700,Yes
GEO,P2O5,4373.24,Yes
GEO,K2O,2536.71,Yes
DEU,N,1237728.723,Yes
DEU,P2O5,187465.773,Yes
DEU,K2O,336027.12,Yes
GHA,N,82000,Yes
GHA,P2O5,45200,Yes
GHA,K2O,47400,Yes
GRC,N,150287.402,Yes
GRC,P2O5,45904.738,Yes
GRC,K2O,39436.254,Yes
GTM,N,174189.9,Yes
GTM,P2O5,52793.22,Yes
GTM,K2O,83189.16,Yes
GIN,N,23395.96,Yes
GIN,P2O5,9981.32,Yes
GIN,K2O,15015.59,Yes
GUY,N,459.06,Yes
GUY,P2O5,1724.5,Yes
GUY,K2O,256.67,Yes
HND,N,110243.74,Yes
HND,P2O5,34593.73,Yes
HND,K2O,43065.04,Yes
HUN,N,309900.056,Yes
HUN,P2O5,100896.568,Yes
HUN,K2O,94813.29000000001,Yes
ISL,N,13066,Yes
ISL,P2O5,2046,Yes
ISL,K2O,2797,Yes
IND,N,16958000,Yes
IND,P2O5,6854100,Yes
IND,K2O,2778800,Yes
IDN,N,2951991.41,Yes
IDN,P2O5,785221.8,Yes
IDN,K2O,2087754.54,Yes
IRN,N,533276.692,Yes
IRN,P2O5,93949.5858,Yes
IRN,K2O,34112.3755,Yes
IRQ,N,180937.87,Yes
IRQ,P2O5,65444.34,Yes
IRQ,K2O,5231.4,Yes
IRL,N,284684.84254000004,Yes
IRL,P2O5,106251.87504,Yes
IRL,K2O,136821.41616,Yes
ISR,N,50200,Yes
ISR,P2O5,6100,Yes
ISR,K2O,36000,Yes
ITA,N,497944.97,Yes
ITA,P2O5,143871.465,Yes
ITA,K2O,99369.27,Yes
JAM,N,3757.95,Yes
JAM,P2O5,1634.26,Yes
JAM,K2O,2562.09,Yes
JPN,N,370423.2,Yes
JPN,P2O5,338479.2,Yes
JPN,K2O,290823.7,Yes
JOR,N,20085,Yes
JOR,P2O5,717,Yes
JOR,K2O,4230,Yes
KAZ,N,104900,Yes
KAZ,P2O5,122600,Yes
KAZ,K2O,18300,Yes
KEN,N,83791.13,Yes
KEN,P2O5,34590.55,Yes
KEN,K2O,12889.54,Yes
KWT,N,2000,Yes
KWT,P2O5,2195.63,Yes
KWT,K2O,5073.87,Yes
KGZ,N,9311.93,Yes
KGZ,P2O5,418.75,Yes
KGZ,K2O,172.95,Yes
LVA,N,64043.707,Yes
LVA,P2O5,23267.019,Yes
LVA,K2O,25888.434,Yes
LBN,N,22908.91,Yes
LBN,P2O5,12200,Yes
LBN,K2O,9442.8,Yes
LBY,N,14700,Yes
LBY,P2O5,18777.05,Yes
LBY,K2O,231.78,Yes
LTU,N,138232.223,Yes
LTU,P2O5,48332.038,Yes
LTU,K2O,65156.520000000004,Yes
LUX,N,11226.400950000001,Yes
LUX,P2O5,1049.41169,Yes
LUX,K2O,776.4814200000001,Yes
MDG,N,31388.41,Yes
MDG,P2O5,3936.95,Yes
MDG,K2O,3637.91,Yes
MWI,N,86463.2,Yes
MWI,P2O5,24073.31,Yes
MWI,K2O,17517.9,Yes
MYS,N,476916.92,Yes
MYS,P2O5,322889.36,Yes
MYS,K2O,992153.93,Yes
MDV,N,350,Yes
MDV,P2O5,58.95,Yes
MDV,K2O,32.71,Yes
MLI,N,102990.6,Yes
MLI,P2O5,35062.47,Yes
MLI,K2O,20633.95,Yes
MLT,N,515.84952,Yes
MLT,P2O5,112.95036,Yes
MLT,K2O,116.64509999999999,Yes
MUS,N,8378.31,Yes
MUS,P2O5,4448,Yes
MUS,K2O,6494.7,Yes
MEX,N,1455988.93,Yes
MEX,P2O5,683973,Yes
MEX,K2O,260221.01,Yes
MNG,N,35672.8,Yes
MNG,P2O5,633.75,Yes
MNG,K2O,430.24,Yes
MNE,N,1043.97,Yes
MNE,P2O5,548.99,Yes
MNE,K2O,556.56,Yes
MAR,N,248500,Yes
MAR,P2O5,158300,Yes
MAR,K2O,99039.2,Yes
MOZ,N,22609.49,Yes
MOZ,P2O5,4187.74,Yes
MOZ,K2O,2236.2,Yes
MMR,N,256266.76,Yes
MMR,P2O5,93682.08,Yes
MMR,K2O,78522.63,Yes
"NAM",N,18840.14,Yes
"NAM",P2O5,722.05,Yes
"NAM",K2O,467.3,Yes
NRU,N,0,Yes
NRU,P2O5,0,Yes
NRU,K2O,0,Yes
NPL,N,91633.68,Yes
NPL,P2O5,40264.72,Yes
NPL,K2O,6577,Yes
NLD,N,185548.201,Yes
NLD,P2O5,11545.857,Yes
NLD,K2O,55000.374,Yes
NCL,N,562,Yes
NCL,P2O5,396,Yes
NCL,K2O,528,Yes
NZL,N,45629,Yes
NZL,P2O5,31920,Yes
NZL,K2O,26525.31965999998,Yes
NIC,N,77641.9,Yes
NIC,P2O5,22119.87,Yes
NIC,K2O,28705.33,Yes
NER,N,6440.36,Yes
NER,P2O5,155.08,Yes
NER,K2O,159.68,Yes
NGA,N,456277.47,Yes
NGA,P2O5,126663.35,Yes
NGA,K2O,133099.95,Yes
MKD,N,20996.66,Yes
MKD,P2O5,4337.49,Yes
MKD,K2O,3433.53,Yes
NOR,N,99318,Yes
NOR,P2O5,19901,Yes
NOR,K2O,40144,Yes
OMN,N,8796.35,Yes
OMN,P2O5,3447,Yes
OMN,K2O,10812.42,Yes
PAK,N,3446922,Yes
PAK,P2O5,1257773,Yes
PAK,K2O,54173,Yes
PAN,N,12002.06,Yes
PAN,P2O5,11875.23,Yes
PAN,K2O,9279.28,Yes
PNG,N,26359.01,Yes
PNG,P2O5,2159.17,Yes
PNG,K2O,8463.43,Yes
PRY,N,133803.7,Yes
PRY,P2O5,214123.68,Yes
PRY,K2O,195528.78,Yes
PER,N,330068.39,Yes
PER,P2O5,100297.88,Yes
PER,K2O,109112.5,Yes
PHL,N,761288.18,Yes
PHL,P2O5,208514.83,Yes
PHL,K2O,218623.8,Yes
POL,N,902427.362,Yes
POL,P2O5,300352.304,Yes
POL,K2O,454685.088,Yes
PRT,N,87400.42817,Yes
XMI,N,0,Yes
PRT,P2O5,48745.40719,Yes
XMI,P2O5,0,Yes
PRT,K2O,30894.46074,Yes
XMI,K2O,0,Yes
QAT,N,1400,Yes
QAT,P2O5,500,Yes
QAT,K2O,1500,Yes
KOR,N,209483.39,Yes
KOR,P2O5,140611.75,Yes
KOR,K2O,147126.45,Yes
MDA,N,46248.81,Yes
MDA,P2O5,28587.06,Yes
MDA,K2O,9641,Yes
ROU,N,284745.197,Yes
ROU,P2O5,113443.911,Yes
ROU,K2O,37431.108,Yes
RUS,N,1414463.325,Yes
RUS,P2O5,579232.7,Yes
RUS,K2O,359903.412,Yes
RWA,N,4334.06,Yes
RWA,P2O5,6852.09,Yes
RWA,K2O,1318.43,Yes
KNA,N,12.83,Yes
KNA,P2O5,9.63,Yes
KNA,K2O,3.71,Yes
LCA,N,125.77,Yes
LCA,P2O5,135.8,Yes
LCA,K2O,132.25,Yes
WSM,N,3.68,Yes
WSM,P2O5,3.48,Yes
WSM,K2O,4.29,Yes
SAU,N,173300,Yes
SAU,P2O5,95300,Yes
SAU,K2O,10600,Yes
SEN,N,37000,Yes
SEN,P2O5,20000,Yes
SEN,K2O,14200,Yes
XKO,N,10552.355098890135,Yes
XKO,P2O5,2220.2266343798688,Yes
XKO,K2O,2461.94167890653,Yes
SYC,N,50.48,Yes
SYC,P2O5,22.03,Yes
SYC,K2O,24.39,Yes
SGP,N,0,Yes
SGP,P2O5,587.45,Yes
SGP,K2O,0,Yes
SVK,N,101341.53104999999,Yes
SVK,P2O5,20863.65038,Yes
SVK,K2O,15166.600019999998,Yes
SVN,N,22398.39357,Yes
SVN,P2O5,8210.315279999999,Yes
SVN,K2O,9491.99394,Yes
ZAF,N,444620,Yes
ZAF,P2O5,249508,Yes
ZAF,K2O,130832,Yes
ESP,N,892598.467,Yes
ESP,P2O5,392370.348,Yes
ESP,K2O,334301.68200000003,Yes
LKA,N,109729.92,Yes
LKA,P2O5,19459.77,Yes
LKA,K2O,25793.37,Yes
SDN,N,163914.54,Yes
SDN,P2O5,4717.3,Yes
SDN,K2O,3894.48,Yes
SUR,N,12417.12,Yes
SUR,P2O5,1398.07,Yes
SUR,K2O,1264.53,Yes
SWE,N,164126.13055,Yes
SWE,P2O5,29626.22136,Yes
SWE,K2O,31566.678,Yes
CHE,N,48560.43,Yes
CHE,P2O5,13617.59,Yes
CHE,K2O,17414.15,Yes
SYR,N,7479.89,Yes
SYR,P2O5,3409.99,Yes
SYR,K2O,5395.23,Yes
TJK,N,7937.29,Yes
TJK,P2O5,5948.88,Yes
TJK,K2O,962.75,Yes
THA,N,1726741.59,Yes
THA,P2O5,425026.11,Yes
THA,K2O,647574.15,Yes
TGO,N,4270.16,Yes
TGO,P2O5,381.32,Yes
TGO,K2O,10663.9,Yes
TON,N,113.19,Yes
TON,P2O5,45.66,Yes
TON,K2O,78.09,Yes
TTO,N,6500,Yes
TTO,P2O5,500,Yes
TTO,K2O,2100,Yes
TUN,N,71800,Yes
TUN,P2O5,37600,Yes
TUN,K2O,5700,Yes
TUR,N,1764638,Yes
TUR,P2O5,754750,Yes
TUR,K2O,124945,Yes
UGA,N,7607.73,Yes
UGA,P2O5,3962.26,Yes
UGA,K2O,2658.43,Yes
UKR,N,1338003.8,Yes
UKR,P2O5,356161.4,Yes
UKR,K2O,293353.2,Yes
ARE,N,15146.37,Yes
ARE,P2O5,4150.96,Yes
ARE,K2O,12230.96,Yes
GGY,N,0,Yes
GBR,N,860907,Yes
GGY,P2O5,0,Yes
GBR,P2O5,175305,Yes
GGY,K2O,0,Yes
GBR,K2O,236808,Yes
TZA,N,106012.11,Yes
TZA,P2O5,46566.23,Yes
TZA,K2O,11037.68,Yes
USA,N,10442192.26134,Yes
USA,P2O5,4006550.112,Yes
USA,K2O,4542442.20796,Yes
URY,N,155489.09,Yes
URY,P2O5,142423.64,Yes
URY,K2O,45361.34,Yes
UZB,N,706889.68,Yes
UZB,P2O5,221309.48,Yes
UZB,K2O,75600.72,Yes
VEN,N,260600,Yes
VEN,P2O5,92200,Yes
VEN,K2O,108100,Yes
VNM,N,1563255.78,Yes
VNM,P2O5,873003.55,Yes
VNM,K2O,764285.52,Yes
YEM,N,13199.25,Yes
YEM,P2O5,930.77,Yes
YEM,K2O,677.48,Yes
ZMB,N,210689.85,Yes
ZMB,P2O5,37342.68,Yes
ZMB,K2O,25768.55,Yes
ZWE,N,65000,Yes
ZWE,P2O5,48400,Yes
ZWE,K2O,40000,Yes
SRB,N,206765.04490110985,Yes
SRB,P2O5,43503.58336562013,Yes
SRB,K2O,48239.79832109347,Yes
