"country","iso3c","year","fao_tonnes_production"
"Australia","AUS",2010,5115
"Australia","AUS",2011,3822
"Australia","AUS",2012,3751.13
"Australia","AUS",2013,3518.7
"Australia","AUS",2014,3487
"Australia","AUS",2015,4951
"Australia","AUS",2016,4302
"Australia","AUS",2017,4264.1
"Australia","AUS",2018,3921.2
"Bangladesh","BGD",2010,51417
"Bangladesh","BGD",2011,84781
"Bangladesh","BGD",2012,87540
"Bangladesh","BGD",2013,90105
"Bangladesh","BGD",2014,80693
"Bangladesh","BGD",2015,84024
"Bangladesh","BGD",2016,79510
"Bangladesh","BGD",2017,81722
"Bangladesh","BGD",2018,70979
"Belize","BLZ",2010,6670
"Belize","BLZ",2011,5047
"Belize","BLZ",2012,5813
"Belize","BLZ",2013,7080
"Belize","BLZ",2014,7163.56
"Belize","BLZ",2015,4150
"Belize","BLZ",2016,1090
"Belize","BLZ",2017,500
"Belize","BLZ",2018,500
"Brazil","BRA",2010,69422
"Brazil","BRA",2011,69266
"Brazil","BRA",2012,75000
"Brazil","BRA",2013,64669
"Brazil","BRA",2014,65000
"Brazil","BRA",2015,69900
"Brazil","BRA",2016,59500
"Brazil","BRA",2017,60000
"Brazil","BRA",2018,62000
"Brunei Darussalam","BRN",2014,591.24
"Brunei Darussalam","BRN",2015,787.34
"Brunei Darussalam","BRN",2016,712.18
"Brunei Darussalam","BRN",2017,1240
"Brunei Darussalam","BRN",2018,724.32
"Cambodia","KHM",2016,985
"Cambodia","KHM",2017,1000
"Cambodia","KHM",2018,1200
"China","CHN",2010,808405
"China","CHN",2011,853508
"China","CHN",2012,963752
"China","CHN",2013,1034894
"China","CHN",2014,1110724
"China","CHN",2015,1112384
"China","CHN",2016,1221515
"China","CHN",2017,1345154
"China","CHN",2018,1409114
"Colombia","COL",2010,12576
"Colombia","COL",2011,9410
"Colombia","COL",2012,8900
"Colombia","COL",2013,4545
"Colombia","COL",2014,2862
"Colombia","COL",2015,2484
"Colombia","COL",2016,2700
"Colombia","COL",2017,3700
"Colombia","COL",2018,5097
"Costa Rica","CRI",2010,3215
"Costa Rica","CRI",2011,3028
"Costa Rica","CRI",2012,3043
"Costa Rica","CRI",2013,2890
"Costa Rica","CRI",2014,2973
"Costa Rica","CRI",2015,2682
"Costa Rica","CRI",2016,3000
"Costa Rica","CRI",2017,3000
"Costa Rica","CRI",2018,3000
"Cuba","CUB",2010,3025
"Cuba","CUB",2011,2178
"Cuba","CUB",2012,3009
"Cuba","CUB",2013,4115.9
"Cuba","CUB",2014,4121
"Cuba","CUB",2015,4719
"Cuba","CUB",2016,5044
"Cuba","CUB",2017,5631
"Cuba","CUB",2018,6474
"Ecuador","ECU",2010,223313
"Ecuador","ECU",2011,260000
"Ecuador","ECU",2012,281100
"Ecuador","ECU",2013,304000
"Ecuador","ECU",2014,340000
"Ecuador","ECU",2015,403000
