crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
1,whea,whea,wheat,wheat,15,cereals,Wheat,
1,whea,whea,wheat,wheat,16,cereals,"Flour, wheat",
1,whea,whea,wheat,wheat,17,cereals,"Bran, wheat",
1,whea,whea,wheat,wheat,19,cereals,"Germ, wheat",
1,whea,whea,wheat,wheat,21,cereals,Bulgar,
1,whea,whea,wheat,wheat,23,cereals,"Starch, wheat",
1,whea,whea,wheat,wheat,24,cereals,"Gluten, wheat",
1,whea,whea,wheat,wheat,41,cereals,"Cereals, breakfast",
2,rice,rice,rice,rice,27,cereals,"Rice, paddy",
2,rice,rice,rice,rice,28,cereals,"Rice, husked",
2,rice,rice,rice,rice,29,cereals,"Rice, milled/husked",
2,rice,rice,rice,rice,31,cereals,"Rice, milled",
2,rice,rice,rice,rice,32,cereals,"Rice, broken",
2,rice,rice,rice,rice,33,cereals,"Gluten, rice",
2,rice,rice,rice,rice,34,cereals,"Starch, rice",
2,rice,rice,rice,rice,35,cereals,"Bran, rice",
2,rice,rice,rice,rice,36,cereals,"Oil, rice bran",
2,rice,rice,rice,rice,38,cereals,"Flour, rice",
3,maiz,maiz,maize,maize,56,cereals,Maize,
3,maiz,maiz,maize,maize,57,cereals,"Germ, maize",
3,maiz,maiz,maize,maize,58,cereals,"Flour, maize",
3,maiz,maiz,maize,maize,59,cereals,"Bran, maize",
3,maiz,maiz,maize,maize,63,cereals,"Gluten, maize",
3,maiz,maiz,maize,maize,64,cereals,"Starch, maize",
3,maiz,maiz,maize,maize,846,cereals,"Feed and meal, gluten",
3,maiz,maiz,maize,maize,60,cereals,"Oil, maize",
4,barl,barl,barley,barley,51,cereals,Beer of barley,
4,barl,barl,barley,barley,50,cereals,Malt extract,
4,barl,barl,barley,barley,49,cereals,Malt,
4,barl,barl,barley,barley,48,cereals,"Flour, barley and grits",
4,barl,barl,barley,barley,47,cereals,"Bran, barley",
4,barl,barl,barley,barley,46,cereals,"Barley, pearled",
4,barl,barl,barley,barley,45,cereals,"Barley, pot",
4,barl,barl,barley,barley,44,cereals,Barley,
5,pmil,xmil,pearl millet,millet,79,cereals,Millet,
6,smil,xmil,small millet,millet,80,cereals,"Flour, millet",
5,pmil,xmil,pearl millet,millet,81,cereals,"Bran, millet",
6,smil,xmil,small millet,millet,79,cereals,Millet,
5,pmil,xmil,pearl millet,millet,80,cereals,"Flour, millet",
6,smil,xmil,small millet,millet,81,cereals,"Bran, millet",
7,sorg,sorg,sorghum,sorghum,83,cereals,Sorghum,
7,sorg,sorg,sorghum,sorghum,84,cereals,"Flour, sorghum",
7,sorg,sorg,sorghum,sorghum,85,cereals,"Bran, sorghum",
8,ocer,ocer,other cereals,other cereals ++,68,cereals,Popcorn,
8,ocer,ocer,other cereals,other cereals ++,71,cereals,Rye,
8,ocer,ocer,other cereals,other cereals ++,,cereals,Rye,
8,ocer,ocer,other cereals,other cereals ++,72,cereals,"Flour, rye",
8,ocer,ocer,other cereals,other cereals ++,73,cereals,"Bran, rye",
8,ocer,ocer,other cereals,other cereals ++,75,cereals,Oats,
8,ocer,ocer,other cereals,other cereals ++,,cereals,Oats,
8,ocer,ocer,other cereals,other cereals ++,76,cereals,Oats rolled,
8,ocer,ocer,other cereals,other cereals ++,77,cereals,"Bran, oats",
8,ocer,ocer,other cereals,other cereals ++,89,cereals,Buckwheat,
8,ocer,ocer,other cereals,other cereals ++,90,cereals,"Flour, buckwheat",
8,ocer,ocer,other cereals,other cereals ++,91,cereals,"Bran, buckwheat",
8,ocer,ocer,other cereals,other cereals ++,92,cereals,Quinoa,
8,ocer,ocer,other cereals,other cereals ++,94,cereals,Fonio,
8,ocer,ocer,other cereals,other cereals ++,95,cereals,"Flour, fonio",
8,ocer,ocer,other cereals,other cereals ++,96,cereals,"Bran, fonio",
8,ocer,ocer,other cereals,other cereals ++,97,cereals,Triticale,
8,ocer,ocer,other cereals,other cereals ++,98,cereals,"Flour, Triticale",
8,ocer,ocer,other cereals,other cereals ++,99,cereals,"Bran, triticale",
8,ocer,ocer,other cereals,other cereals ++,101,cereals,Canary seed,
8,ocer,ocer,other cereals,other cereals ++,103,cereals,Mixed grain,
8,ocer,ocer,other cereals,other cereals ++,104,cereals,"Flour, mixed grain",
8,ocer,ocer,other cereals,other cereals ++,105,cereals,"Bran, mixed grains",
8,ocer,ocer,other cereals,other cereals ++,108,cereals,"Cereals, nes",
8,ocer,ocer,other cereals,other cereals ++,111,cereals,"Flour, ceraals",
8,ocer,ocer,other cereals,other cereals ++,112,cereals,"Bran, cereals, nes",
8,ocer,ocer,other cereals,other cereals ++,113,cereals,"Cereal preparations, nes",
8,ocer,ocer,other cereals,other cereals ++,,cereals,"Cereals, excluding beer",
9,pota,pota,potato,potato,116,roots&tubers or starchy roots,Potatoes,
9,pota,pota,potato,potato,117,roots&tubers or starchy roots,"Flour, potatoes",
9,pota,pota,potato,potato,118,roots&tubers or starchy roots,"Potatoes, frozen",
9,pota,pota,potato,potato,119,roots&tubers or starchy roots,"Starch, potatoes",
9,pota,pota,potato,potato,121,roots&tubers or starchy roots,"Tapioca, potatoes",
10,swpo,swpo,sweet potato,sweet potato,122,roots&tubers or starchy roots,Sweet potatoes,
11,yams,yams,yams,yam,137,roots&tubers or starchy roots,Yams,
12,cass,cass,cassava,cassava,129,roots&tubers or starchy roots,"Starch, cassava",
12,cass,cass,cassava,cassava,128,roots&tubers or starchy roots,"Cassava, dried",
12,cass,cass,cassava,cassava,127,roots&tubers or starchy roots,"Tapioca, cassava",
12,cass,cass,cassava,cassava,126,roots&tubers or starchy roots,"Flour, cassava",
12,cass,cass,cassava,cassava,125,roots&tubers or starchy roots,Cassava,
13,orts,orts,other roots,yautia ++,135,roots&tubers or starchy roots,Yautia (Cocoyam),
13,orts,orts,other roots,yautia ++,136,roots&tubers or starchy roots,Taro (Cocoyam),
13,orts,orts,other roots,yautia ++,149,roots&tubers or starchy roots,Roots and tubers nes,
13,orts,orts,other roots,yautia ++,150,roots&tubers or starchy roots,"Flour, roots and tubers nes",
13,orts,orts,other roots,yautia ++,151,roots&tubers or starchy roots,Roots and tubers dried,
13,orts,orts,other roots,yautia ++,,roots&tubers or starchy roots,Roots and tubers dried,
14,bean,xpul,bean,"beans, dry",176,pulses,"Beans, dry",
15,chic,xpul,chickpea,chickpea,191,pulses,"Chick-peas, dry",
16,cowp,xpul,cowpea,cowpea,195,pulses,"Cow peas, dry",
17,pige,xpul,pigeonpea,pigeon pea,197,pulses,Pigeon peas,
18,lent,xpul,lentil,lentils,201,pulses,"Lentils, dry",
19,opul,xpul,other pulses,broad beans ++,181,pulses,"Broad beans, dry",
19,opul,xpul,other pulses,broad beans ++,187,pulses,"Peas, dry",
19,opul,xpul,other pulses,broad beans ++,203,pulses,Bambara beans,
19,opul,xpul,other pulses,broad beans ++,205,pulses,Vetches,
19,opul,xpul,other pulses,broad beans ++,210,pulses,Lupins,
19,opul,xpul,other pulses,broad beans ++,211,pulses,Pulses nes,
19,opul,xpul,other pulses,broad beans ++,212,pulses,"Flour, pulses",
19,opul,xpul,other pulses,broad beans ++,213,pulses,"Bran, pulses",
19,opul,xpul,other pulses,pulses,,pulses,Pulses,
20,soyb,soyb,soybean,soybean,237,oilcrops,"Soybeans, cake and oil",
20,soyb,soyb,soybean,soybean,236,oilcrops,Soybeans,
20,soyb,soyb,soybean,soybean,239,oilcrops,Soya sauce,
20,soyb,soyb,soybean,soybean,240,oilcrops,Soya paste,
20,soyb,soyb,soybean,soybean,241,oilcrops,Soya curd,
21,grou,xoil,groundnut,"groundnut, with shell",244,oilcrops,"Oil, groundnut",
21,grou,xoil,groundnut,"groundnut, with shell",242,oilcrops,"Groundnuts, in shell",
21,grou,xoil,groundnut,"groundnut, with shell",243,oilcrops,"Groundnuts, shelled",
21,grou,xoil,groundnut,"groundnut, with shell",246,oilcrops,"Groundnuts, prepared",
21,grou,xoil,groundnut,"groundnut, with shell",247,oilcrops,Peanut butter,
22,cnut,cnut,coconut,coconut,252,oilcrops,Coconut oil,
22,cnut,cnut,coconut,coconut,249,oilcrops,Coconuts,
22,cnut,cnut,coconut,coconut,250,oilcrops,"Coconuts, desiccated",
22,cnut,cnut,coconut,coconut,251,oilcrops,Copra,
23,oilp,oilp,oilpalm,palmoil,254,oilcrops,[Oil palm fruit],
23,oilp,oilp,oilpalm,palmoil,256,oilcrops,Palm kernals,
23,oilp,oilp,oilpalm,palmoil,257,oilcrops,"Oil, palm",
23,oilp,oilp,oilpalm,palmoil,258,oilcrops,"Oil, palm kernal",
23,oilp,oilp,oilpalm,palmoil,1276,oilcrops,Fatty acids,
23,oilp,oilp,oilpalm,palmoil,1277,oilcrops,Fatty substance residues,
24,sunf,xoil,sunflower,sunflower seed,267,oilcrops,Sunflower seed,
25,rape,xoil,rapeseed,rapeseed,270,oilcrops,Rapeseed or colza seed,
25,rape,xoil,rapeseed,rapeseed,292,oilcrops,Mustard seed,
25,rape,xoil,rapeseed,rapeseed,295,oilcrops,"Flour, mustard",
26,sesa,xoil,sesameseed,sesame seed,289,oilcrops,Sesame seed,
28,sugc,sugc,sugarcane,sugar cane,156,sugar crops,Sugar cane,
28,sugc,sugc,sugarcane,sugar cane,158,sugar crops,"Sugar, cane, raw, centrifugal",
28,sugc,sugc,sugarcane,sugar cane,161,sugar crops,Sugar crops nes,
28,sugc,sugc,sugarcane,sugar cane,162,sugar crops,Sugar Raw Centrifugal,
28,sugc,sugc,sugarcane,sugar cane,163,sugar crops,Sugar non-centrugal,
28,sugc,sugc,sugarcane,sugar cane,164,sugar crops,Sugar refined,
28,sugc,sugc,sugarcane,sugar cane,168,sugar crops,Sugar confectionary,
28,sugc,sugc,sugarcane,sugar cane,171,sugar crops,Sugar flavored,
28,sugc,sugc,sugarcane,sugar cane,165,sugar crops,Molasses,
29,sugb,sugb,sugarbeet,sugarbeet,157,sugar crops,Sugar beet,
29,sugb,sugb,sugarbeet,sugarbeet,,sugar crops,sugar crops,
30,cott,xoil,cotton,seed cotton,328,fibres,[Seed Cotton],
32,acof,xcof,arabica coffee,coffee,659,stimulant,"Coffee, extracts",nonfood
33,rcof,xcof,robusta coffee,coffee,659,stimulant,"Coffee, extracts",nonfood
32,acof,xcof,arabica coffee,coffee,657,stimulant,Coffee roasted,nonfood
33,rcof,xcof,robusta coffee,coffee,657,stimulant,Coffee roasted,nonfood
