Item Code,Item,Description,HS Code,HS07 Code,HS12 Code,CPC Code,cut
2501,Population,,,,,S2501,yes
2901,Grand Total,,,,,S2901,yes
2903,Vegetal Products,,,,,S2903,yes
2941,Animal Products,,,,,S2941,yes
2905,Cereals - Excluding Beer,,,,,S2905,yes
2511,Wheat and products,"Default composition: 15 Wheat, 16 Flour, wheat, 17 Bran, wheat, 18 Macaroni, 19 Germ, wheat, 20 Bread, 21 Bulgur, 22 Pastry, 23 Starch, wheat, 24 Gluten, wheat, 41 Cereals, breakfast, 110 Wafers, 114 Mixes and doughs, 115 Food preparations, flour, malt extract",,,,S2511,
2807,Rice and products,"Default composition: 27 Rice, paddy, 28 Rice, husked, 29 Rice, milled/husked, 31 Rice, milled, 32 Rice, broken, 33 Gluten, rice, 34 Starch, rice, 35 Bran, rice, 38 Flour, rice",,,,S2807,
2513,Barley and products,"Default composition: 44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract",,,,S2513,
2514,Maize and products,"Default composition: 56 Maize, 57 Germ, maize, 58 Flour, maize, 59 Bran, maize, 63 Gluten, maize, 64 Starch, maize, 846 Feed and meal, gluten",,,,S2514,
2515,Rye and products,"Default composition: 71 Rye, 72 Flour, rye, 73 Bran, rye",,,,S2515,
2516,Oats,"Default composition: 75 Oats, 76 Oats rolled, 77 Bran, oats",,,,S2516,
2517,Millet and products,"Default composition: 79 Millet, 80 Flour, millet, 81 Bran, millet",,,,S2517,
2518,Sorghum and products,"Default composition: 83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum",,,,S2518,
2520,"Cereals, Other","Default composition: 68 Popcorn, 89 Buckwheat, 90 Flour, buckwheat, 91 Bran, buckwheat, 92 Quinoa, 94 Fonio, 95 Flour, fonio, 96 Bran, fonio, 97 Triticale, 98 Flour, triticale, 99 Bran, triticale, 101 Canary seed, 103 Grain, mixed, 104 Flour, mixed grain, 105 Bran, mixed grains, 108 Cereals, nes, 111 Flour, cereals, 112 Bran, cereals nes, 113 Cereal preparations, nes",,,,S2520,
2907,Starchy Roots,,,,,S2907,yes
2532,Cassava and products,"Default composition: 125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava",,,,S2532,
2531,Potatoes and products,"Default composition: 116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes",,,,S2531,
2533,Sweet potatoes,Default composition: 122 Sweet potatoes,,,,S2533,
2535,Yams,Default composition: 137 Yams,,,,S2535,
2534,"Roots, Other","Default composition: 135 Yautia (cocoyam), 136 Taro (cocoyam), 149 Roots and tubers, nes, 150 Flour, roots and tubers nes, 151 Roots and tubers dried",,,,S2534,
2908,Sugar Crops,,,,,S2908,yes
2536,Sugar cane,Default composition: 156 Sugar cane,,,,S2536,
2537,Sugar beet,Default composition: 157 Sugar beet,,,,S2537,
2909,Sugar & Sweeteners,,,,,S2909,yes
2541,Sugar non-centrifugal,Default composition: 163 Sugar non-centrifugal,,,,S2541,yes
2542,Sugar (Raw Equivalent),"Default composition: 158 Sugar, cane, raw, centrifugal, 159 Sugar, beet, raw, centrifugal, 162 Sugar Raw Centrifugal, 164 Sugar refined, 168 Sugar confectionery, 171 Sugar flavoured",,,,S2542,yes
2543,"Sweeteners, Other","Default composition: 154 Fructose chemically pure, 155 Maltose chemically pure, 160 Maple sugar and syrups, 161 Sugar crops, nes, 165 Molasses, 166 Fructose and syrup, other, 167 Sugar, nes, 172 Glucose and dextrose, 173 Lactose, 175 Isoglucose, 633 Beverages, non alcoholic",,,,S2543,yes
2745,Honey,"Default composition: 1182 Honey, natural",,,,S2745,yes
2911,Pulses,,,,,S2911,yes
2546,Beans,"Default composition: 176 Beans, dry",,,,S2546,
