Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","174","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2514","Maize and products","2017","2017","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2514","Maize and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2514","Maize and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2514","Maize and products","2017","2017","1000 tonnes","203","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5521","Feed","2514","Maize and products","2017","2017","1000 tonnes","111","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5527","Seed","2514","Maize and products","2017","2017","1000 tonnes","21","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5123","Losses","2514","Maize and products","2017","2017","1000 tonnes","26","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5154","Other uses (non-food)","2514","Maize and products","2017","2017","1000 tonnes","7","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2514","Maize and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2514","Maize and products","2017","2017","1000 tonnes","38","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2017","2017","kg","1.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2514","Maize and products","2017","2017","kcal/capita/day","9","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","0.24","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2017","2017","g/capita/day","0.13","Fc","Calculated data"
