Area,Domestic supply quantity,Import Quantity,Stock Variation,Feed,Residuals,Production,Losses,Processing,Other uses (non-food),Export Quantity,Seed,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Tourist consumption
Suriname,1,NA,0,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,6,0,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,19,NA,0,NA,0,18,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,21,0,0,NA,0,21,4,17,0,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,22,NA,-1,NA,0,21,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,35,NA,0,0,0,35,0,35,0,NA,NA,NA,NA,NA,NA,NA,NA
Panama,41,0,0,NA,-24,41,1,65,0,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,74,NA,1,NA,0,75,30,44,NA,0,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,81,NA,0,NA,0,81,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,87,0,0,NA,0,87,0,87,NA,0,NA,NA,NA,NA,NA,NA,NA
Solomon Islands,246,0,-134,NA,0,112,NA,246,0,0,NA,NA,NA,NA,NA,NA,0
Senegal,126,NA,11,NA,0,137,3,123,NA,0,NA,NA,NA,NA,NA,NA,NA
Paraguay,150,NA,1,NA,0,151,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo,155,0,-2,NA,0,153,2,153,NA,NA,NA,0,0,16,0,1,NA
Liberia,176,0,1,0,0,177,2,174,NA,0,NA,NA,NA,NA,NA,NA,NA
Cambodia,243,NA,1,NA,0,245,2,241,NA,0,NA,NA,NA,NA,NA,NA,NA
Angola,272,0,8,0,0,280,4,268,0,NA,NA,NA,NA,NA,NA,NA,NA
Nicaragua,261,0,19,NA,0,280,NA,261,NA,0,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,281,0,0,NA,0,281,NA,281,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,297,NA,0,0,0,297,3,293,NA,0,NA,NA,NA,NA,NA,NA,NA
Philippines,475,NA,0,0,0,475,7,468,NA,0,NA,NA,NA,NA,NA,NA,NA
Togo,512,NA,0,0,0,512,7,505,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),523,0,0,0,0,523,1,522,0,NA,NA,NA,NA,NA,NA,NA,NA
Benin,583,0,13,0,0,596,NA,583,0,0,NA,NA,NA,NA,NA,NA,NA
"China, mainland",665,0,0,NA,0,665,264,401,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,885,NA,-40,NA,0,845,55,831,0,NA,NA,NA,NA,NA,NA,NA,NA
Peru,835,NA,17,NA,0,852,176,659,NA,0,NA,NA,NA,NA,NA,NA,NA
Mexico,719,0,154,NA,0,874,12,707,0,0,NA,NA,NA,NA,NA,NA,NA
Costa Rica,1096,0,0,0,0,1096,NA,1096,0,0,NA,NA,NA,NA,NA,NA,NA
Brazil,1624,NA,52,0,0,1676,0,1624,0,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,1879,0,1,0,0,1880,113,1766,NA,0,NA,NA,NA,NA,NA,NA,NA
C?te d'Ivoire,2060,0,167,0,0,2227,31,2029,NA,0,NA,NA,NA,NA,NA,NA,NA
Cameroon,2359,0,41,0,0,2400,29,2329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,2497,0,-89,NA,0,2408,33,2464,NA,0,NA,NA,NA,NA,NA,NA,NA
Ghana,2465,NA,0,0,0,2465,475,1991,NA,0,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,2872,0,-272,0,0,2600,34,2838,NA,0,NA,NA,NA,NA,NA,NA,NA
Guatemala,2758,0,-37,0,0,2721,37,2721,0,0,NA,NA,NA,NA,NA,NA,NA
Ecuador,3395,0,-119,0,0,3276,81,3314,NA,0,NA,NA,NA,NA,NA,NA,NA
Colombia,7914,0,0,0,0,7914,109,6926,871,0,9,NA,NA,NA,NA,NA,NA
Nigeria,9582,NA,-482,NA,0,9100,127,9455,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,12565,0,1887,0,0,14452,199,12367,NA,0,NA,NA,NA,NA,NA,NA,NA
Malaysia,96696,0,5045,0,0,101741,NA,96696,NA,0,NA,NA,NA,NA,NA,NA,NA
Indonesia,237317,0,0,0,46502,237317,21402,169412,NA,0,NA,NA,NA,NA,NA,NA,NA
Afghanistan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Belize,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Botswana,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Bulgaria,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Chad,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong SAR",0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"China, Taiwan Province of",0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Croatia,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Cyprus,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Egypt,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Eswatini,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Germany,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Greece,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Iran (Islamic Republic of),0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Israel,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,0,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
Jordan,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maldives,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Mozambique,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myanmar,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Namibia,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
New Caledonia,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Pakistan,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Portugal,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
