Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),2,Afghanistan,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,1,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,-1,S,Standardized data
FBS,Food Balances (2010-),2,Afghanistan,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,-1,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),7,Angola,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),7,Angola,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),7,Angola,5521,Feed,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),7,Angola,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5511,Production,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),8,Antigua and Barbuda,5123,Losses,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5171,Tourist consumption,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,1.33,Fc,Calculated data
FBS,Food Balances (2010-),8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balances (2010-),8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balances (2010-),8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),10,Australia,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,1,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,1,S,Standardized data
FBS,Food Balances (2010-),10,Australia,5154,Other uses (non-food),2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,5142,Food,2535,Yams,2017,2017,1000 tonnes,1,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),10,Australia,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0.02,Fc,Calculated data
FBS,Food Balances (2010-),10,Australia,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),10,Australia,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),10,Australia,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),11,Austria,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),11,Austria,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),11,Austria,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),11,Austria,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),11,Austria,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),11,Austria,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),11,Austria,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0,Fc,Calculated data
FBS,Food Balances (2010-),11,Austria,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),11,Austria,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),11,Austria,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),12,Bahamas,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),12,Bahamas,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),12,Bahamas,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),12,Bahamas,5171,Tourist consumption,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),12,Bahamas,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),12,Bahamas,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),12,Bahamas,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0.02,Fc,Calculated data
FBS,Food Balances (2010-),12,Bahamas,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),12,Bahamas,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),12,Bahamas,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),16,Bangladesh,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),16,Bangladesh,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),16,Bangladesh,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5511,Production,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),14,Barbados,5123,Losses,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5171,Tourist consumption,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),14,Barbados,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0.85,Fc,Calculated data
FBS,Food Balances (2010-),14,Barbados,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balances (2010-),14,Barbados,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0.04,Fc,Calculated data
FBS,Food Balances (2010-),14,Barbados,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),255,Belgium,5611,Import Quantity,2535,Yams,2017,2017,1000 tonnes,4,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,5911,Export Quantity,2535,Yams,2017,2017,1000 tonnes,4,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),255,Belgium,5521,Feed,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),255,Belgium,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0.01,Fc,Calculated data
FBS,Food Balances (2010-),255,Belgium,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),255,Belgium,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),255,Belgium,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),23,Belize,5511,Production,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5301,Domestic supply quantity,2535,Yams,2017,2017,1000 tonnes,0,S,Standardized data
FBS,Food Balances (2010-),23,Belize,5527,Seed,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5123,Losses,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5171,Tourist consumption,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5170,Residuals,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,5142,Food,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),23,Belize,645,Food supply quantity (kg/capita/yr),2535,Yams,2017,2017,kg,0.07,Fc,Calculated data
FBS,Food Balances (2010-),23,Belize,664,Food supply (kcal/capita/day),2535,Yams,2017,2017,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),23,Belize,674,Protein supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),23,Belize,684,Fat supply quantity (g/capita/day),2535,Yams,2017,2017,g/capita/day,0,Fc,Calculated data
FBS,Food Balances (2010-),53,Benin,5511,Production,2535,Yams,2017,2017,1000 tonnes,3244,Im,FAO data based on imputation methodology
FBS,Food Balances (2010-),53,Benin,5072,Stock Variation,2535,Yams,2017,2017,1000 tonnes,0,Im,FAO data based on imputation methodology
