ID_0,fw_catch_tonnes,iso3c,Country
1,940.9566816857954,AFG,Afghanistan
3,0,ALA,Åland
4,1351.8355337913906,ALB,Albania
5,1.4411029560412048,DZA,Algeria
6,0,ASM,American Samoa
7,0.029783136147132228,AND,Andorra
8,12923.102251612872,AGO,Angola
9,0,AIA,Anguilla
11,0,ATG,Antigua and Barbuda
12,24127.954647818442,ARG,Argentina
13,920.8317435333001,ARM,Armenia
14,0,ABW,Aruba
15,483.1265882604302,AUS,Australia
16,517.2275243023527,AUT,Austria
17,9072.060117640498,AZE,Azerbaijan
18,0,BHS,Bahamas
19,0,BHR,Bahrain
20,789765.5830854275,BGD,Bangladesh
21,0,BRB,Barbados
22,1832.9130569474198,BLR,Belarus
23,465.1004576715826,BEL,Belgium
24,0,BLZ,Belize
25,14520.730576465092,BEN,Benin
26,0,BMU,Bermuda
27,259.39368601360206,BTN,Bhutan
28,5839.237373336335,BOL,Bolivia
29,0,BES,"Bonaire, Sint Eustatius and Saba"
30,1904.476589246108,BIH,Bosnia and Herzegovina
31,232.25027431538268,BWA,Botswana
33,211579.40724475132,BRA,Brazil
34,0,IOT,British Indian Ocean Territory
35,0,VGB,British Virgin Islands
36,19.287882632968206,BRN,Brunei
37,1267.021264738445,BGR,Bulgaria
38,8880.106299427249,BFA,Burkina Faso
39,0.43258655056625545,BDI,Burundi
40,297062.28869595483,KHM,Cambodia
41,68537.04561819443,CMR,Cameroon
42,15727.955908488351,CAN,Canada
43,0,CPV,Cape Verde
45,0,CYM,Cayman Islands
46,15111.527840132172,CAF,Central African Republic
47,52804.20536510528,TCD,Chad
48,0.18110275007180213,CHL,Chile
49,1300509.497870168,CHN,China
50,0.05364833827566988,CXR,Christmas Island
52,0,CCK,Cocos Islands
53,25160.771759647054,COL,Colombia
54,0,COM,Comoros
55,0,COK,Cook Islands
56,1026.588865097443,CRI,Costa Rica
57,10758.822774518447,CIV,Côte d'Ivoire
58,624.2833472740857,HRV,Croatia
59,2472.109178429205,CUB,Cuba
60,0,CUW,Curaçao
61,36.961171377604785,CYP,Cyprus
62,4519.801681092332,CZE,Czech Republic
64,87.33052034269427,DNK,Denmark
65,53.81438293341117,DJI,Djibouti
